date,actual_return,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S,QBB_1,QBB_5,QBB_10,QBB_15,QBB_20,QBB_30,QBB_35,QBB_40
2017-12-27,0.0767616538417258,1.2653080886488492,1.4859493117085885,1.370235595362896,1.6186830855701946,1.2110787427649528,1.4454237397346583,1.2987019429840732,1.5399886580711943,2.080214320515603,1.6057562812415636,1.5749287328748012,1.5597304765901678,1.5247296206230416,1.4750671028938611,1.5597304765901678,1.5797777191429914
2017-12-28,-0.5494822976292584,1.2318825906140505,1.4485735100728834,1.344444882543136,1.5876408742770762,1.2035938515829647,1.441510457765017,1.266640245698033,1.5041381799488336,2.080214320515603,1.8297315683494773,1.6057562812415636,1.7013404280815432,1.5247296206230416,1.607176714333632,1.5460992033497931,1.5811321796225712
2017-12-29,-0.504317887551035,1.1726176155236037,1.3815656342673943,1.2390302154038104,1.462544964498197,1.1580791090510725,1.3784548549698863,1.195442904144281,1.4147630589301894,2.080214320515603,1.5811321796225712,1.5797777191429914,1.4455644425668557,1.5460992033497931,1.4750671028938611,1.5597304765901678,1.5811321796225712
2018-01-02,-0.4520260307677929,1.1711183884617913,1.378852778796027,1.255989368339196,1.4824474122455102,1.1908740257341377,1.4310642541730387,1.1992974625047392,1.422260180950548,2.080214320515603,1.5670156195385565,1.5338637733208311,1.5247296206230416,1.4429481487312728,1.5338637733208311,1.5811321796225712,1.5749287328748012
2018-01-03,0.8037740115411448,1.1618713334637851,1.367038141234158,1.2618484267243968,1.488379319657128,1.2078020510593377,1.458841915023947,1.1938646931516252,1.418668993105208,1.949700901761832,1.5597304765901678,1.4750671028938611,1.4750671028938611,1.5749287328748012,1.4429481487312728,1.4750671028938611,1.5797777191429914
2018-01-04,1.5339600629815977,1.1504622879190505,1.3546695152463402,1.2612017192214686,1.4901763384534048,1.2234136907554958,1.475817920309765,1.1851826494442106,1.4096910921197847,3.250804906172269,1.5749287328748012,1.4429481487312728,1.5460992033497931,1.5811321796225712,1.5338637733208311,1.5597304765901678,1.5247296206230416
2018-01-05,1.0484798781091569,1.1763995213022205,1.384671502884914,1.3022907822428136,1.5381682213072645,1.1795655484617964,1.4064183940864166,1.2159901199149428,1.449760375655332,2.5524268601236035,1.5597304765901678,1.4429481487312728,1.4429481487312728,1.4455644425668557,1.4455644425668557,1.5338637733208311,1.5597304765901678
2018-01-08,0.3042466917879702,1.4039151326968256,1.6555834682692374,1.4960258566050135,1.7763766141361337,1.156811088794876,1.3481283490443523,1.428977125588856,1.6958509209390416,2.5524268601236035,1.5460992033497931,1.4455644425668557,1.5338637733208311,1.4455644425668557,1.4429481487312728,1.5338637733208311,1.4750671028938611
2018-01-09,0.6633177716181998,1.4553944412871846,1.713659881556562,1.570231980770497,1.8649270069692157,1.1283626142523695,1.296842569310728,1.490443907611495,1.7648547237271397,1.9545591729887168,1.5597304765901678,1.4455644425668557,1.4750671028938611,1.6057562812415636,1.4455644425668557,1.5338637733208311,1.4455644425668557
2018-01-10,-0.3492691741910592,1.384420462974555,1.634267265282903,1.4819359417359863,1.760484805394656,1.0841722622083532,1.2471528473491311,1.412747148879891,1.6716606143094384,1.9545591729887168,1.5597304765901678,1.5597304765901678,1.4247467773318594,1.4429481487312728,1.5247296206230416,1.4750671028938611,1.4429481487312728
