date,actual_return,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S,QBB_1,QBB_5,QBB_10,QBB_15,QBB_20,QBB_30,QBB_35,QBB_40
2018-02-09,-0.8268414694683186,2.291408399239865,2.693263001398416,2.1608856269221537,2.5710275918401964,2.308232745322897,2.7223084603233505,2.30538986465207,2.715304634467279,2.888220135928636,6.480254217955081,2.888220135928636,2.888220135928636,2.888220135928636,2.732017508638347,2.807853660003935,2.807853660003935
2018-02-12,-0.1543118592159609,2.507574802078924,2.907275188899939,2.473361916622457,2.8653693176029305,2.5407331297539653,2.9627372966476075,2.506593238060315,2.9087107334005875,2.888220135928636,2.807853660003935,2.865525576037617,2.807853660003935,2.807853660003935,2.673001328680206,2.732017508638347,2.732017508638347
2018-02-13,-0.5957363025811852,2.4932334588841187,2.8976346228357936,2.5397715881415497,2.938812121530616,2.495738708542163,2.913002866426805,2.4850680633675712,2.889025964454787,2.888220135928636,2.865525576037617,2.865525576037617,2.807853660003935,2.807853660003935,2.673001328680206,2.732017508638347,2.807853660003935
2018-02-14,0.6788568915858164,2.347664579625527,2.7588039171236787,2.318906477869791,2.732814516945359,2.356194761399585,2.7763968261114496,2.351533491450544,2.7659491800177958,2.888220135928636,2.874410713429889,2.865525576037617,2.807853660003935,2.732017508638347,2.673001328680206,2.673001328680206,2.673001328680206
2018-02-15,0.1423318945064403,2.3172503796868686,2.722481609971318,2.327771907863926,2.7338990391813427,2.310556849634239,2.721426553961334,2.3187534588516967,2.727639507964523,2.888220135928636,2.865525576037617,2.807853660003935,2.807853660003935,2.732017508638347,2.673001328680206,2.673001328680206,2.673001328680206
2018-02-16,0.8262558810257559,2.3143871195037957,2.719787969083919,2.353404454768271,2.762303584235839,2.316842362775826,2.731203598069033,2.312847357560082,2.720849265076009,2.888220135928636,2.874410713429889,2.673001328680206,2.807853660003935,2.732017508638347,2.807853660003935,2.732017508638347,2.673001328680206
2018-02-19,-0.2118146237916502,2.216285531622757,2.622508631799343,2.158500132606299,2.5777007678864274,2.2197962105680182,2.6337109503624028,2.2268637392046102,2.639262971665511,2.888220135928636,2.807853660003935,2.673001328680206,2.807853660003935,2.673001328680206,2.807853660003935,2.732017508638347,2.673001328680206
2018-02-20,0.176543328381611,2.2936786617961125,2.6916248465480845,2.29175943372556,2.6946970033908078,2.303821964326048,2.71477423862216,2.295334614671741,2.696618758299941,2.888220135928636,2.865525576037617,2.673001328680206,2.865525576037617,2.732017508638347,2.807853660003935,2.732017508638347,2.673001328680206
2018-02-21,0.3873016988522584,2.20348572933689,2.606725121652748,2.1492973538290414,2.559315664676188,2.2116332721658463,2.625218597600578,2.213218466080721,2.6219275991705477,2.888220135928636,2.874410713429889,2.807853660003935,2.673001328680206,2.673001328680206,2.732017508638347,2.732017508638347,2.673001328680206
2018-02-22,0.1521624920499478,2.1321771238746203,2.5400419373697574,2.011763157727272,2.4298158707315785,2.137946962052054,2.554938209000544,2.147045513029328,2.5601472347769643,2.888220135928636,2.865525576037617,2.865525576037617,2.69103610844508,2.732017508638347,2.732017508638347,2.69103610844508,2.673001328680206
2018-02-23,0.6412146714833765,2.1134370510693525,2.5160081230293803,1.9905969366595888,2.398435676307765,2.116034916750675,2.5285622749772214,2.1286609193768875,2.537053613783962,2.888220135928636,2.874410713429889,2.807853660003935,2.732017508638347,2.673001328680206,2.732017508638347,2.732017508638347,2.732017508638347
2018-02-26,-0.7348257244227898,2.0646087462193314,2.4708159749186924,1.8787150930144805,2.2889331288091217,2.0643179068057838,2.4804613709656143,2.0811284920814943,2.491433985372529,2.888220135928636,2.807853660003935,2.865525576037617,2.732017508638347,2.732017508638347,2.732017508638347,2.732017508638347,2.673001328680206
2018-02-27,0.1637618800884449,2.128067305290483,2.5287028457126137,1.996644554408276,2.3897822144130987,2.1289505849119577,2.542667055017956,2.139874025448356,2.5457972531696624,2.888220135928636,2.865525576037617,2.865525576037617,2.807853660003935,2.807853660003935,2.732017508638347,2.732017508638347,2.673001328680206
2018-02-28,0.7800260750028297,2.205577172242616,2.597525651928439,2.1434659915534024,2.519162437540395,2.1787636979113056,2.578683479415837,2.211372085715307,2.6087388832896266,2.888220135928636,2.874410713429889,2.865525576037617,2.807853660003935,2.807853660003935,2.732017508638347,2.732017508638347,2.673001328680206
2018-03-01,0.8085052126739908,2.1315446392162123,2.5255328592604185,1.99567526782059,2.377423702759573,2.1110599858067696,2.511854121791317,2.144407163747305,2.5443259399711464,2.888220135928636,2.865525576037617,2.807853660003935,2.807853660003935,2.673001328680206,2.732017508638347,2.732017508638347,2.673001328680206
2018-03-02,-0.7041876141093947,2.2107679447398216,2.5999680754553736,2.1347172621045414,2.5054110953078483,2.202832138384429,2.6032865514501933,2.216604209531505,2.610311017540439,2.888220135928636,2.874410713429889,2.673001328680206,2.807853660003935,2.732017508638347,2.732017508638347,2.732017508638347,2.673001328680206
