date,r_log_s,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2018-01-18,-0.16176974974736,0.9379918251277176,1.1302521794652967,1.0043932796719186,1.1998255751378042,1.1196309635532025,1.1196309635532025
2018-01-19,0.43756479869901,1.0777012019268617,1.320051531341749,1.1439299351072965,1.3741448697258263,1.312354898161968,1.312354898161968
2018-01-22,0.80343643822132,0.9958124942010015,1.2204244478015236,1.061741708392421,1.2858069676818442,1.212436682627225,1.212436682627225
2018-01-23,0.21720049682223,0.9554872999578174,1.1691265209790893,1.0313222860837001,1.2573563652132433,1.1577562260296281,1.1577562260296281
2018-01-24,-0.056013254723200005,1.0333496515459328,1.271615771832575,1.1179750150961456,1.3651539435263813,1.2572405856311217,1.2572405856311217
2018-01-25,0.06024393988328,0.9521758291240544,1.1607066493349065,1.0137771911487121,1.2396336486572106,1.1505430372537695,1.1505430372537695
2018-01-26,1.1771638106084101,0.8887660082010446,1.0769343221170686,0.9326496435364278,1.1428515429808723,1.0699190243145098,1.0699190243145098
2018-01-29,-0.6754736284863,0.833409819250257,0.9958115007383206,0.8357670652493395,1.0194253932095536,0.9957021742504819,0.9957021742504819
2018-01-30,-1.0958642805337,1.1237736870967863,1.3892617442529474,1.1030197552771857,1.3377672541479948,1.4045149308595246,1.4045149308595246
2018-01-31,0.04888658586947,1.1538731637592134,1.4450664733798388,1.1806652150565997,1.442449743989433,1.4452506554403373,1.4452506554403373
2018-02-01,-0.06482983520233,1.3445026258373574,1.7075125809668596,1.377891223723446,1.691000975941889,1.7062515243609528,1.7062515243609528
2018-02-02,-2.1436680516698803,1.1988349213810352,1.5324655668605365,1.1924503469197125,1.4860986962875666,1.538676916604184,1.538676916604184
2018-02-05,-4.18425409383814,1.086031340866405,1.3854361218378233,1.0771870847894203,1.3478508497468158,1.39397790319243,1.39397790319243
2018-02-06,1.7290573348937002,1.8819143325977197,2.462886851297459,1.724455258261294,2.156673695031242,2.561358992097806,2.561358992097806
2018-02-07,-0.50141382237526,3.6791710155221216,4.765683051484724,3.2380601694823947,3.9676125080110993,5.128488881467099,5.128488881467099
2018-02-08,-3.82590522458017,3.3661407437888102,4.459038216920931,2.957725971232533,3.8557864672050126,4.70274135486308,4.70274135486308
2018-02-09,1.48256451995243,2.8899613560908115,3.9357791229035137,2.4606804124104213,3.3826593307888118,4.156585557226594,4.156585557226594
2018-02-12,1.3818665678186202,3.897078366035696,5.214835333319756,3.34085891269096,4.472192883312673,5.446616661693555,5.446616661693555
2018-02-13,0.26095219802775,3.4733919528882264,4.745160494516849,2.9637057358415664,4.144483899971805,4.913184004136176,4.913184004136176
2018-02-14,1.3313439808896999,3.115836313992257,4.343555808104222,2.678777721772745,3.870805354944806,4.4618147984115435,4.4618147984115435
2018-02-15,1.19968617767752,2.654354781703707,3.7875022653169874,2.160387996314722,3.250436874307303,3.9283781359556547,3.9283781359556547
2018-02-16,0.037339964992159996,2.4645921594770384,3.526010996439964,2.113643366565579,3.146139638015999,3.6082254669151776,3.6082254669151776
2018-02-20,-0.58585171068373,2.277912033441314,3.274219404627034,2.036899300475893,3.021739320094173,3.3173925362823726,3.3173925362823726
2018-02-21,-0.5511664483310901,1.9451111791480606,2.846260908211818,1.6594420558749572,2.520660083185389,2.9123647784411966,2.9123647784411966
2018-02-22,0.09730774855778,1.7448614625883254,2.5775182810084325,1.5694998387915056,2.3618737682638233,2.6249817064071106,2.6249817064071106
2018-02-23,1.5901278245121002,1.5719635219054346,2.333656220249615,1.488129614876555,2.2159784058071055,2.3671896370284675,2.3671896370284675
2018-02-26,1.16884386206273,1.3619454713040748,2.0276269568209955,1.2479267415070214,1.8733338953604326,2.0713568299405742,2.0713568299405742
2018-02-27,-1.27883114414675,1.6912104399212458,2.3702448708309984,1.6008948957003328,2.2368855434176007,2.389814525126303,2.389814525126303
2018-02-28,-1.1157806083656,1.694576335886907,2.34543860437264,1.6695491407070033,2.2989005568416925,2.324217267755484,2.324217267755484
2018-03-01,-1.34139658548764,1.800961470216429,2.4537100307145914,1.8141458328643323,2.4530111028883264,2.4076947749923865,2.4076947749923865
2018-03-02,0.50587854851985,1.8060114329869523,2.45506314579313,1.856062511914115,2.508665003089253,2.384321923811543,2.384321923811543
2018-03-05,1.09716176105265,1.9049262902353494,2.561846596010773,1.9643524721431966,2.6344445041942013,2.4858357384235164,2.4858357384235164
2018-03-06,0.26353829319968,1.6778289573643805,2.2904358581957776,1.7198925413331776,2.3686904031976472,2.2274438687579003,2.2274438687579003
2018-03-07,-0.04839918257163,1.6580534371493543,2.2518614991377306,1.7287220400186445,2.371784744648813,2.1742313267278464,2.1742313267278464
2018-03-08,0.44531482088846003,1.4477346709464733,1.9942737070175907,1.4765308863494377,2.0763797869659593,1.9354709334414628,1.9354709334414628
2018-03-09,1.72295467412075,1.271665159622529,1.7671561870961012,1.2732044353724714,1.8130004873908327,1.7265753190774595,1.7265753190774595
2018-03-12,-0.12747973379983998,1.1624273656765103,1.6109072269188671,1.1898550777748884,1.6858253910276577,1.5704009250769135,1.5704009250769135
2018-03-13,-0.63839104143147,1.6470288537562034,2.1876300578013472,1.6207604810783027,2.1509561499485716,2.208117693688321,2.208117693688321
2018-03-14,-0.57409698251887,1.443141975181158,1.9431193409905216,1.4076845985324418,1.904396228453804,1.9725453199610667,1.9725453199610667
2018-03-15,-0.07822363990965,1.3810781373346763,1.862432702664109,1.4082618953185544,1.894621881341774,1.8613506699595272,1.8613506699595272
2018-03-16,0.17019979472317,1.315654501886375,1.7726093867422759,1.3871067447618939,1.8589012880638167,1.7488166014790079,1.7488166014790079
2018-03-19,-1.43060405413734,1.172403513014803,1.5900550574545094,1.2188477029479174,1.6554922491184976,1.5791777328751928,1.5791777328751928
2018-03-20,0.14807086617189,1.0546107977263763,1.424460573846794,1.0692742844511807,1.4630938776973652,1.425811230435084,1.425811230435084
2018-03-21,-0.18456921256294,1.4903038679902265,1.96135995191344,1.4787620624273177,1.9069308419748714,2.0020182830353557,2.0020182830353557
2018-03-22,-2.54848869728544,1.3129361359172371,1.7491125521334325,1.2648955174493501,1.6728306223137683,1.7993216787023942,1.7993216787023942
2018-03-23,-2.1189807311750597,1.1836642351388742,1.5850031492949508,1.1593702927921612,1.5423056753744613,1.6300782085221028,1.6300782085221028
2018-03-26,2.67950407060353,2.243651686114563,2.95174172121149,2.084465468779543,2.596447974229078,3.193711003132444,3.193711003132444
2018-03-27,-1.7427285645321902,2.5633349498633033,3.3945149803482346,2.419719004314736,3.0811428944357875,3.5344888291442618,3.5344888291442618
2018-03-28,-0.29209188994626,2.9850364191707075,3.9762088875781925,2.787986662289785,3.6457520686792018,4.0536432797544215,4.0536432797544215
2018-03-29,1.36757774938434,2.909848013760526,3.9351081053265675,2.7415520983541235,3.705910803610457,3.924752408131909,3.924752408131909
2018-04-02,-2.25906823434958,2.5060142312461533,3.4483586467848286,2.266332397414894,3.178991534135029,3.4800283567487758,3.4800283567487758
2018-04-03,1.2535961315741,2.368757199454123,3.29297905751065,2.2071539839790884,3.13723995238577,3.266709925543507,3.266709925543507
2018-04-04,1.15001023464467,2.713247437067292,3.6904684183310845,2.553156975402701,3.5252889021191387,3.642913188364793,3.642913188364793
2018-04-05,0.68394214016512,2.505012796282752,3.442369186273631,2.3817666744436035,3.356332990088309,3.367142248109937,3.367142248109937
2018-04-06,-2.2164067057064902,2.311489674821834,3.2123457479558204,2.227245952970002,3.1940743927822504,3.114392190004791,3.114392190004791
2018-04-09,0.33309949675928,2.0527217836397456,2.8993188934858978,1.9763270084210829,2.900269487700189,2.8141906126034337,2.8141906126034337
2018-04-10,1.6588598996314,2.490421120369976,3.430670703117048,2.384859463794557,3.3630164697310243,3.379120949818373,3.379120949818373
2018-04-11,-0.55406857724611,2.163152753803011,3.025794455930898,1.9977737154714548,2.902571143420591,3.017010342165812,3.017010342165812
2018-04-12,0.8216898697657,2.229557723850579,3.094827236677515,2.127249603421396,3.0433794854557497,3.0288822358862375,3.0288822358862375
2018-04-13,-0.28907998267066004,1.9910976222689458,2.799764346569423,1.9167650140694052,2.7827835279920694,2.7404450757822825,2.7404450757822825
2018-04-16,0.8076336801563,1.8239813820104331,2.5776181245842475,1.794056758671216,2.6139558289256306,2.5075777551727607,2.5075777551727607
2018-04-17,1.06050716138667,1.6143306916674016,2.295311377778959,1.5903332282515406,2.3284543541927474,2.247685929885454,2.247685929885454
2018-04-18,0.08310204075532,1.5220729042778038,2.160155386759352,1.547637356953321,2.246415224271048,2.0897145874702026,2.0897145874702026
2018-04-19,-0.57425817958325,1.5371260488689913,2.152139090017435,1.601595973046625,2.281899694993325,2.0533457780439637,2.0533457780439637
2018-04-20,-0.85731771883527,1.3527513879490833,1.9096902297565421,1.3416855999433115,1.9505029267062366,1.8468054982876023,1.8468054982876023
2018-04-23,0.005623011118453955,1.2980759015718655,1.815048934158009,1.3418379025110188,1.9091452092210988,1.733291382610511,1.733291382610511
2018-04-24,-1.3470888006475101,1.3561041154260476,1.859394728534887,1.4391561889896982,1.9877498759483159,1.7620747538731558,1.7620747538731558
2018-04-25,0.18353742328236,1.2055859520966523,1.6527192522954288,1.2381032757170067,1.7224309617436864,1.5865940285678635,1.5865940285678635
2018-04-26,1.0380144187376898,1.5277320938789198,2.0345592848100913,1.5553944618472144,2.0609284725877792,2.0077394745994965,2.0077394745994965
2018-04-27,0.11130052713638,1.351123486720501,1.8188330533055301,1.3367890315048272,1.8109542855103071,1.8144712533766256,1.8144712533766256
