date,r_log_BRVM,VaRGARCH_N,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2018-02-05,-0.16619290945269,1.1943832646194006,1.1816318446354424,1.5575589175375941,1.2008991333375354,1.5449676812671698,1.545071405121845,1.545071405121845
2018-02-06,0.47161659467212,1.1225222445045628,1.1109794040337215,1.4068014778122493,1.1263624519855684,1.3951674801361897,1.3998275993665301,1.3998275993665301
2018-02-07,0.49975116504716,1.0707253320889387,1.0440893095388577,1.28440603185653,1.0730451837933483,1.2984053089619987,1.3216705963330726,1.3216705963330726
2018-02-08,0.22083188952284,1.0827402955746797,1.0784849760770059,1.3468088709613428,1.0858563478052745,1.3245392701498389,1.3239163071589626,1.3239163071589626
2018-02-09,-0.22083188952285002,1.0952387917206552,1.110004296505784,1.400731368354031,1.0988186743687618,1.3509515681616848,1.335138152148641,1.335138152148641
2018-02-12,-0.21697630453102,1.0571068756354245,1.0487865661948519,1.29516872527812,1.0596551263953864,1.2799530791413058,1.2904911409779083,1.2904911409779083
2018-02-13,-0.43100700170990003,1.0336754650378068,1.015867236732334,1.238588681201198,1.0350753240860446,1.2413036727675009,1.2681060144761092,1.2681060144761092
2018-02-14,1.04599378190362,1.017930199958939,0.9903431193197243,1.2014314488237514,1.0187156549398293,1.2209139349848181,1.2585577707647424,1.2585577707647424
2018-02-15,-0.25939230315239,1.0422579514516608,1.0377259634157041,1.2853819665302741,1.0416753088627821,1.2704826838820034,1.2862098156660189,1.2862098156660189
2018-02-16,0.35002088325023,1.2541864963908103,1.272201543957615,1.695940021400853,1.2607730178341403,1.6454608897616658,1.6410354044435358,1.6410354044435358
2018-02-19,-0.18133937010227,1.165235337034399,1.1844115702268883,1.5074985957269356,1.168800253682953,1.4611060655067227,1.4543872926666939,1.4543872926666939
2018-02-20,0.44412896667596996,1.118984223188165,1.1387768223385266,1.4271353592034806,1.1220834835237163,1.3773637337234275,1.3676125009984235,1.3676125009984235
2018-02-21,0.30500270653503003,1.0699916973353334,1.0691348255005624,1.3061845830723133,1.071831320628465,1.2917508971360243,1.3071142196515468,1.3071142196515468
2018-02-22,-0.40400622278952,1.0758649596523737,1.0857238196754482,1.3487960895807933,1.0781267436892714,1.3144577840479594,1.3165096067205269,1.3165096067205269
2018-02-23,0.10760788728026,1.0548978793070776,1.0546861359116015,1.3005472613848827,1.0568869699652272,1.2794448694852647,1.2926683166480728,1.2926683166480728
2018-02-26,-0.08177143189819999,1.059495326911043,1.0742457731835366,1.3337692527444496,1.059900182454301,1.2941105203778958,1.2988959503721365,1.2988959503721365
2018-02-27,0.18926364906342,1.0240744912989843,0.9898334040518286,1.1974470285029384,1.0244757230339228,1.2310803770879883,1.2667725412826174,1.2667725412826174
2018-02-28,0.6297277005675,0.9995430999614093,0.9314946973078209,1.1068849063863777,0.9999328963790989,1.1921987618070242,1.2430975267491182,1.2430975267491182
2018-03-01,-0.14102265109305,0.9889047671290042,0.9055263426774194,1.0764314125700662,0.9894272953085056,1.1762491938248136,1.2218586818203605,1.2218586818203605
2018-03-02,0.38839972853817,1.0666844623697291,1.024972460062616,1.2939704057687726,1.070110873544757,1.3234150723446119,1.335220224126375,1.335220224126375
2018-03-05,0.34445399879977,1.0299977116967727,0.9737237533459023,1.194717897747064,1.0323396489145142,1.246625138891639,1.2683152234049666,1.2683152234049666
2018-03-06,0.12303516539007,1.0348069580066845,0.9950440948527353,1.2354774664005337,1.0376490104841403,1.2591526740424297,1.2708428340600377,1.2708428340600377
2018-03-07,0.21600567472032,1.0298052441317345,0.996706653188212,1.2395279157559338,1.0326739208009936,1.2527620555961407,1.2627155333126945,1.2627155333126945
2018-03-08,-1.00349511197725,1.0022822218178067,0.9333023055817252,1.1381680261823621,1.0042773978503856,1.20442117843429,1.2350667150115484,1.2350667150115484
2018-03-09,1.4762294044773199,0.9912591470208924,0.9120213224130103,1.1115712232345667,0.99291118094058,1.1907308862719086,1.2279820499519765,1.2279820499519765
2018-03-12,0.01684210530297,1.2061504070716755,1.1857863673749742,1.5906412479696252,1.1995576014854996,1.5744955620686336,1.5937626337821105,1.5937626337821105
2018-03-13,0.029466860519230004,1.5200566420210018,1.5179143470047527,2.1102500258177184,1.5283219474999974,2.0925403997034313,2.109931946086348,2.109931946086348
2018-03-14,1.84738683092096,1.3340747575846084,1.2804146854890635,1.6512304399365272,1.3392583286672899,1.7231340473192847,1.7392367328585359,1.7392367328585359
2018-03-15,0.004131804566230358,1.2076966778245077,1.1170648905294354,1.3744972277725613,1.2108265599366452,1.4899149956020536,1.509406799192429,1.509406799192429
2018-03-16,-0.4472242329227,1.6925107380409294,1.6216714493639244,2.306024120838107,1.7109259972961859,2.355522641380469,2.448105821547521,2.448105821547521
2018-03-19,-0.38255275561994,1.4702569881254448,1.36165211001699,1.785439409229697,1.4833194415681281,1.911523579750932,1.974793244257196,1.974793244257196
2018-03-20,0.09161323202595,1.3415937324965486,1.3019234879315014,1.6548255684209978,1.3493394951778934,1.6813945772251504,1.6968094689269577,1.6968094689269577
2018-03-21,0.5313641129597,1.2352581766202064,1.2394727084496933,1.5392725912210066,1.2395615811099878,1.5086949541399504,1.5019297815021957,1.5019297815021957
2018-03-22,-0.2570269220316,1.1388363198116715,1.1030918014699973,1.3345012190666183,1.1407111581272344,1.3621165625107479,1.3701110992157304,1.3701110992157304
2018-03-23,0.1617552871303,1.1308765038429966,1.132188329656897,1.4011142341882568,1.1346184802734596,1.376785978393681,1.3648005082255508,1.3648005082255508
2018-03-26,0.85419464230139,1.0803457760968607,1.0848102556508372,1.3262376174607549,1.0823719877437037,1.3022985281274995,1.3001546436097362,1.3001546436097362
2018-03-27,0.57360750548185,1.035216903750005,1.0094638931830033,1.2204423246051117,1.0366418997519538,1.2399207691648024,1.2570091982303866,1.2570091982303866
2018-03-28,-0.3232739388227,1.1640204409400872,1.1743139823784794,1.5056100070128104,1.1698024731542696,1.4758634301434614,1.4689307912145073,1.4689307912145073
2018-03-29,-0.99269685553661,1.1560326005109818,1.194224986474734,1.5262045756563267,1.161814869445478,1.4554626836678741,1.4268833138818866,1.4268833138818866
2018-03-30,0.40073590634203,1.1069248441205666,1.1485433502902866,1.440620039395872,1.109838216194483,1.3675342631381702,1.345433761195131,1.345433761195131
2018-04-03,-0.5374356645859599,1.2672626283242274,1.3308113924746072,1.7352291706641347,1.2632682811510412,1.6420031824145511,1.6172701196246502,1.6172701196246502
2018-04-04,0.6404583592934,1.188312023783212,1.2519428863660336,1.593936907243999,1.1861872454497702,1.4964667632504818,1.467304693245617,1.467304693245617
2018-04-05,-1.0724962529837,1.1688005860853665,1.2511115476104688,1.58155192982069,1.1656770268385725,1.4609981253136524,1.4215961242877309,1.4215961242877309
2018-04-06,-0.53849976719541,1.174946835168669,1.2660963399788108,1.6044599262098118,1.1755840941938764,1.4759888921205198,1.4306063528110884,1.4306063528110884
2018-04-09,0.20488811499437998,1.32497995009022,1.4241058950818546,1.8602822241925137,1.319139403195809,1.7328284116102897,1.7035538435909297,1.7035538435909297
2018-04-10,-0.24256630186342,1.2569797419722915,1.3699573508825615,1.7431989686945806,1.2513294825992913,1.598375505527488,1.5558306459676159,1.5558306459676159
2018-04-11,0.8048920572996301,1.1654430271898135,1.237716946730693,1.514245275258254,1.1610160782225978,1.4263328087201859,1.4030108512906683,1.4030108512906683
2018-04-12,-0.68771762139559,1.1056945707780268,1.1619961043183655,1.3913718585880448,1.101475168695496,1.3267894396757123,1.317659472936001,1.317659472936001
2018-04-13,-0.69669144852634,1.1660355994273293,1.2456274539334715,1.5742620019453157,1.167290742603588,1.4905036207663238,1.466235938850797,1.466235938850797
2018-04-16,-0.61255287325173,1.180558601790348,1.2830736271689143,1.6343137636486587,1.1782560693333426,1.5129060675097534,1.481262855102263,1.481262855102263
2018-04-17,-0.08054431432276,1.1938760972978648,1.3124278516076409,1.6723648526189834,1.187722210439609,1.5256646558988323,1.4933913707114908,1.4933913707114908
2018-04-18,-0.27178545692163,1.1838003231894652,1.3103795130512612,1.657746677304413,1.174112038931875,1.4958062673240937,1.4625711531433785,1.4625711531433785
2018-04-19,-0.66986917154582,1.1033854125727922,1.1683876160077638,1.4156381965448508,1.0944666455870127,1.34086012419999,1.3284668106664221,1.3284668106664221
2018-04-20,0.56350202470779,1.0541132764620764,1.1028058550758806,1.3245821636676112,1.0461332886764387,1.2623231742742878,1.2592629599534344,1.2592629599534344
2018-04-23,0.37391163172825,1.1084143233893216,1.1743732209879634,1.4470692481671015,1.0953078801083533,1.3579374956926287,1.350179144764549,1.350179144764549
2018-04-24,-0.04241961546598,1.1160506210729466,1.1906499769534058,1.465898033633515,1.1134127631710748,1.3663545735422113,1.3521337643551055,1.3521337643551055
2018-04-25,0.78186481177977,1.0770977223463125,1.1417157609240922,1.3961925541819322,1.0787874502150054,1.3052793746269173,1.2773420587557365,1.2773420587557365
2018-04-26,-0.43455400099227,1.0165675782376211,1.0208779728280784,1.2201181453083207,1.0177485131812856,1.2138186830436,1.2211797758469294,1.2211797758469294
2018-04-27,-0.28792838623965,1.1265033303957042,1.1533937132603533,1.427645476390877,1.1408132500507153,1.3961542843222106,1.3715134661759163,1.3715134661759163
2018-04-30,1.2766399766506,1.0941083956403834,1.1407013455818074,1.405834267132351,1.0990274167167595,1.3391292467610807,1.314252983045166,1.314252983045166
2018-05-02,-0.79440553958434,1.046341810766451,1.0889318792382947,1.327361800287779,1.0480204150628893,1.2656047265084598,1.2545403136325484,1.2545403136325484
2018-05-03,-0.47375411141667,1.3252118155435577,1.3544902994170158,1.7522038292818716,1.3571105630029316,1.727868711729567,1.720178931857644,1.720178931857644
2018-05-04,-0.5783066676455401,1.317943326308493,1.3872203860388015,1.7707935955011243,1.328080603849943,1.6741954611182683,1.6414977163570519,1.6414977163570519
2018-05-07,-0.38026920997431,1.2359849822562363,1.3198669637630034,1.6479967719036521,1.238386978193735,1.5263610649513963,1.4890704669056247,1.4890704669056247
2018-05-08,-0.62265364881412,1.1992514583138083,1.2998122379640624,1.6081149510569526,1.1928679032773475,1.459430203834475,1.4181706752970114,1.4181706752970114
2018-05-09,-0.66123801229605,1.129114265929286,1.2278537628378352,1.4960834862648886,1.1198213780996402,1.3516107361084706,1.318451567087472,1.318451567087472
2018-05-11,-0.8360233314234701,1.1390515286395333,1.2439204246283615,1.5124179180526767,1.120824098683317,1.3559017677708765,1.3291355880197484,1.3291355880197484
2018-05-14,0.03497420687918,1.1592772784488143,1.2693196814195402,1.5464942101843113,1.13676922999607,1.381869303338745,1.3585619584227455,1.3585619584227455
2018-05-15,-0.15748034750664,1.2304407480970505,1.341070422170813,1.6462913331078397,1.1994735892578607,1.4734484757936952,1.4634678602020295,1.4634678602020295
2018-05-16,-0.61479202952675,1.1165740949677816,1.1601168121083747,1.3962116594146017,1.0896680336628028,1.3211870385927327,1.3308142213398628,1.3308142213398628
2018-05-17,-1.80905882537078,1.0416802095019415,1.0631255056603708,1.2622399993405604,1.0231482994228676,1.222969214752418,1.2347042905089023,1.2347042905089023
2018-05-18,-0.56675214676238,1.0829568489372918,1.1275138273026117,1.351117472517398,1.0563098890694722,1.267067731943477,1.276571905435403,1.276571905435403
2018-05-22,-0.56544605908271,1.6610498364716964,1.5998559643870855,2.050576148837006,1.577657713291295,2.0159565152069923,2.139524109933134,2.139524109933134
2018-05-23,-0.6325534755127,1.4834601699405376,1.4873040809111047,1.8583209250922135,1.41369234516959,1.7697384914917735,1.8436626692600244,1.8436626692600244
2018-05-24,-0.35671857089213,1.3601392593252353,1.4097056685478924,1.7387388483515975,1.301617420980554,1.6086849404206929,1.648663559158286,1.648663559158286
2018-05-25,0.59838022556002,1.2964189903166052,1.380827529857475,1.69231013602045,1.2462426201519718,1.5347539418414025,1.5568406640524648,1.5568406640524648
2018-05-28,-0.75427204988666,1.192883145125984,1.2801883366421138,1.54791273097169,1.1531532613833402,1.3983253052717486,1.408492634208222,1.408492634208222
2018-05-29,-0.09181472434923,1.1713560421466522,1.2717265788800083,1.5358044926076144,1.1561665128210679,1.3943825625877262,1.378255256388779,1.378255256388779
2018-05-30,-0.3634945452156,1.2061390026166734,1.314564734180834,1.597351800202157,1.179540545764865,1.433748261923167,1.424232038841481,1.424232038841481
2018-05-31,0.66616376646091,1.1029784918917676,1.1642603520525026,1.3887960389069625,1.083783104146534,1.2991700078688395,1.2987397993685026,1.2987397993685026
2018-06-01,-0.30726217106813997,1.0627320499250117,1.1260736139367686,1.3429527864965862,1.0458219481878406,1.249400367260308,1.2497646140325755,1.2497646140325755
2018-06-04,-0.37273126004545,1.1090699681555432,1.1818628159581848,1.4265004481662296,1.1139124373541347,1.336845077329592,1.314941926209457,1.314941926209457
2018-06-05,0.45537209850294996,1.0572205207673484,1.1233367463830792,1.350928059615046,1.057546896041002,1.2637802892936998,1.252699727697338,1.252699727697338
2018-06-06,-0.42310585562696,1.0337895556201462,1.096819997913776,1.3151696005167228,1.0298596034851555,1.2272719623616055,1.2209316968555144,1.2209316968555144
2018-06-07,-0.01382711499448,1.0341184164182382,1.1002147006738083,1.3238337862448588,1.038598421020412,1.2384218889080858,1.2277827241351669,1.2277827241351669
