date,r_log_BRVM,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2018-02-05,-0.1661929094526967,1.1943833147522465,1.5394364961076772,1.1816318445102314,1.5575599609725228,1.200899112349068,1.5449679493690296,1.2051335719772993,1.5450693314812158
2018-02-06,0.4716165946721266,1.1225222419781078,1.3931356900971221,1.1109793908015775,1.406800209362771,1.12636245599173,1.3951670482324203,1.1387275050206211,1.3998287378134049
2018-02-07,0.4997511650471616,1.070725342909592,1.2977134096146494,1.0440892984149641,1.2844073479685674,1.0730451927445068,1.2984059847930134,1.1040368861432381,1.3216698032071053
2018-02-08,0.2208318895228497,1.0827402907651589,1.3231050116868572,1.078485024595976,1.3468103537336307,1.0858563517134414,1.324539944845754,1.0993544807569247,1.3239162583243407
2018-02-09,-0.2208318895228543,1.0952387852969878,1.3492380191522868,1.1100043176662806,1.4007320942409125,1.0988186947559389,1.350950876087868,1.0993966563287816,1.3351391819702654
2018-02-12,-0.2169763045310269,1.0571068654968407,1.2790297567908218,1.0487865868751152,1.2951717018425957,1.0596551150451439,1.2799554596283838,1.084665373175297,1.2904895559459124
2018-02-13,-0.431007001709907,1.0336754484064834,1.2410067459604244,1.0158672246272047,1.2385895435048895,1.0350753194274656,1.2413043506935548,1.077428534456797,1.2681060264255601
2018-02-14,1.0459937819036231,1.0179301821358873,1.220822099534745,0.9903431658765491,1.2014303623389584,1.0187156527529988,1.2209143410027616,1.0728222748735423,1.2585577625300193
2018-02-15,-0.2593923031523989,1.042257892424221,1.2707409443707143,1.0377259749360015,1.2853830515029185,1.0416753191931207,1.2704813568401934,1.0797369238812526,1.286208482260535
2018-02-16,0.3500208832502309,1.254186528113231,1.6428602860032249,1.2722015512096594,1.6959391641792358,1.26077300380732,1.6454602599061572,1.2562747186945549,1.641035943532321
2018-02-19,-0.1813393701022723,1.165235337204368,1.4606667887240978,1.184411567581661,1.5075002770495185,1.168800227969453,1.461106456073569,1.1665602166460576,1.454385993297698
2018-02-20,0.4441289666759747,1.1189842219651833,1.37677742144124,1.1387768200430568,1.4271344388651355,1.1220834826259192,1.3773632400755063,1.122171523200822,1.3676141316215011
2018-02-21,0.3050027065350377,1.0699916742378113,1.2916177982191985,1.0691348305758859,1.3061841994140921,1.0718313054221464,1.2917514680417579,1.0969274848861688,1.307113804876705
2018-02-22,-0.4040062227895202,1.0758649777712546,1.314359653241784,1.0857237977397445,1.3487958558667252,1.0781267395127678,1.3144574837221643,1.0943877227338004,1.3165098498546912
2018-02-23,0.1076078872802673,1.0548978902425679,1.2793872591238078,1.0546861132734513,1.3005461062253563,1.056886978545087,1.2794449537114032,1.08614316810375,1.2926686476350782
2018-02-26,-0.0817714318982039,1.0594953477781923,1.2940961322712896,1.0742457950947613,1.333769924081824,1.0599001601843865,1.2941104055071952,1.0860622365480597,1.2988975000138903
2018-02-27,0.1892636490634206,1.0240744972980385,1.23105967604329,0.9898333632556181,1.197447697063172,1.0244757144863437,1.2310825535505048,1.0767171332139815,1.2667734208284664
2018-02-28,0.6297277005675044,0.9995430683867148,1.1922148397068357,0.9314946951591676,1.1068864746516802,0.9999328728230947,1.1921983402537157,1.0672602615150322,1.24309868226702
2018-03-01,-0.1410226510930561,0.9889047618177811,1.1762633360837254,0.9055263321695084,1.0764305660434967,0.9894273246487886,1.1762492412236074,1.0572419426076562,1.2218614689403409
2018-03-02,0.3883997285381799,1.0666845019795372,1.3219911084191411,1.0249724680024164,1.2939716133502737,1.0701109176668742,1.323414505444044,1.0967033852971309,1.3352214562350844
2018-03-05,0.3444539987997714,1.0299977318293259,1.2456847736691754,0.9737237527406859,1.1947179067902245,1.032339668137514,1.2466253840155825,1.073603577300695,1.268313689136702
2018-03-06,0.1230351653900733,1.0348069914989624,1.256948611912675,0.9950440919183742,1.2354792246974342,1.0376490018921862,1.2591516846226707,1.070599804839158,1.2708440812739763
2018-03-07,0.216005674720329,1.0298052276046836,1.249671538672655,0.996706622845529,1.2395283798461245,1.0326739132971372,1.2527618423109759,1.0655890102293286,1.2627150042374105
2018-03-08,-1.00349511197725,1.002282236830485,1.2029473045941872,0.9333023097113995,1.1381676291458798,1.004277406104287,1.2044211274698753,1.0562025073213628,1.2350656972904686
2018-03-09,1.4762294044773276,0.9912591302276526,1.1897234744478462,0.9120212776621913,1.111570722243042,0.9929111908086469,1.1907301107920458,1.0514402581145676,1.2279820590311983
2018-03-12,0.0168421053029739,1.2061503737534442,1.580671678612114,1.1857863986867652,1.5906402078658297,1.1995575383361974,1.574495962548228,1.2233505225216004,1.593762342607567
2018-03-13,0.0294668605192382,1.5200566517921799,2.08758098455126,1.5179143743610335,2.1102506485987167,1.5283220171101328,2.092539020989613,1.5493305620766078,2.1099361767236817
2018-03-14,1.8473868309209696,1.3340747843817433,1.7220073497481367,1.2804146898721567,1.6512268383194437,1.3392583007007022,1.7231339574546378,1.349281053670704,1.7392349908714098
2018-03-15,0.0041318045662303,1.2076966837537972,1.490224657200842,1.117064885426542,1.3744990808507347,1.2108265485084244,1.4899132808074982,1.225017740746162,1.5094063274618439
2018-03-16,-0.4472242329227047,1.6925107175253127,2.348520191229467,1.621671280954202,2.3060233127154226,1.7109260712311942,2.355524802958392,1.7559870019038377,2.4481098762244815
2018-03-19,-0.3825527556199434,1.4702569730643265,1.9116924894140153,1.3616521624156968,1.785439673874128,1.4833193860743,1.9115214851501956,1.5185873997054635,1.9747927318094296
2018-03-20,0.0916132320259528,1.3415937460450795,1.6820050110712996,1.3019234990470236,1.654826327744461,1.3493395104982964,1.6813952777184598,1.3585186939286429,1.696807587135592
2018-03-21,0.5313641129597093,1.235258141157488,1.5086843014425986,1.239472709597007,1.5392741384532644,1.2395615335236323,1.5086987139458743,1.2328105993076608,1.5019298608292837
2018-03-22,-0.2570269220316019,1.138836321104473,1.3625732533037953,1.1030917943764185,1.3345009235925247,1.140711177801774,1.3621183618062902,1.1491618993077108,1.3701110494665838
2018-03-23,0.1617552871303083,1.1308765306405133,1.3761690329910035,1.132188333771201,1.4011145630156399,1.1346185209032253,1.3767838830915473,1.123454494413851,1.3648019217491134
