date,returns
2014-01-28,0.6987637613415966
2014-01-29,0.44836784665092894
2014-01-30,0.17717649798751667
2014-01-31,-0.7713937405044659
2014-02-03,-0.4429011120451704
2014-02-04,-0.2895538410969244
2014-02-05,0.6391619048195718
2014-02-06,0.23914244418853564
2014-02-07,-0.29191182293736456
2014-02-10,-0.549642081589269
2014-02-11,0.7119205057772554
2014-02-12,-0.14197921375755712
2014-02-13,-0.5617763603964622
2014-02-14,-0.15524781481498343
2014-02-17,0.004088558170529549
2014-02-18,-0.35633139626355276
2014-02-19,0.4503221267072665
2014-02-20,-0.016339869317397136
2014-02-21,-0.5653667400765603
2014-02-24,-0.30448939296998445
2014-02-25,-1.5030384679274489
2014-02-26,-1.3477292943480645
2014-02-27,0.9663134034879913
2014-02-28,0.9944925687118269
2014-03-03,1.1492478701060085
2014-03-04,0.22171137346102582
2014-03-05,-0.4315577688982732
2014-03-06,0.5790927327520755
2014-03-07,0.8887860202904807
2014-03-10,-0.5249783142629394
2014-03-11,-0.15108518768551213
2014-03-12,-0.3028569066140689
2014-03-13,-2.4228523878606394
2014-03-14,1.8267438167678323
2014-03-17,-0.12790627452947873
2014-03-18,-0.671087854117939
2014-03-19,-0.1913796556832796
2014-03-20,0.2827797451372047
2014-03-21,-0.4369817803187462
2014-03-24,-0.5940197345747552
2014-03-25,0.7815315089992031
2014-03-26,-0.1082972448397704
2014-03-27,-0.10007089189356998
2014-03-28,0.3747506051319374
2014-03-31,-0.09147609785494136
2014-04-01,0.5227793833004275
2014-04-02,0.11993632406091155
2014-04-03,1.0157381458957981
2014-04-04,0.29007435615664995
2014-04-07,-0.16331867095784844
2014-04-08,-0.8906825151422431
2014-04-09,-0.595461379848876
2014-04-10,-0.15357479411480054
2014-04-11,-0.08726910604351731
2014-04-14,-3.6021247043892757
2014-04-15,2.884468184131028
2014-04-16,-0.037693967317499404
2014-04-17,-0.12574927255405527
2014-04-18,0.21367977125838866
2014-04-22,0.31757997524596926
2014-04-23,0.06673061931738465
2014-04-24,-0.1794396124849145
2014-04-25,0.6868015924663551
2014-04-28,-0.5907822142246951
2014-04-29,-0.45167572920332133
2014-04-30,-0.23500787180910426
2014-05-02,-3.488576734327906
2014-05-05,-2.511145165078839
2014-05-06,-1.9551933761466338
2014-05-07,0.36328998676894747
2014-05-08,2.3474625392941437
2014-05-09,0.5519387010899706
2014-05-12,0.7545219161284967
2014-05-13,0.82691858237864
2014-05-14,-0.8881207700813657
2014-05-15,0.17039873047126614
2014-05-16,0.29206010167750074
2014-05-19,-0.13066773060026038
2014-05-20,0.6126591541742431
2014-05-21,-0.4602300586152991
2014-05-22,0.39523168128629904
2014-05-23,0.6954521453165415
2014-05-26,0.0
2014-05-27,-0.6434500640614728
2014-05-28,-0.2820019656656104
2014-05-30,0.1909805693547757
2014-06-02,0.2425398564335002
2014-06-03,-0.22953172633387664
2014-06-04,-0.07373512077475022
2014-06-05,0.6142419173944946
2014-06-06,0.10344382630113443
2014-06-10,0.07320802170080046
2014-06-11,-0.08613264959722235
2014-06-12,0.25817570278546587
2014-06-13,-0.37457258614438693
2014-06-16,0.7520286403617271
2014-06-17,0.1796484507281921
2014-06-18,-0.051295205023169546
2014-06-19,0.10256411155504391
2014-06-20,0.2005505141901458
2014-06-23,-0.2261816818301518
2014-06-24,0.004272317519282687
2014-06-25,0.42205847828949755
2014-06-26,-0.5973733415705816
2014-06-27,0.7334162160513865
2014-06-30,1.3587280214299544
2014-07-01,-0.49156664746645445
2014-07-02,-0.6125787517378025
2014-07-03,-0.5055558062607003
2014-07-04,0.3910738246673953
2014-07-07,-0.008485362754352927
2014-07-08,0.02545392852703649
2014-07-09,-0.4123016063190816
2014-07-10,0.5140525796122268
2014-07-11,0.1651248337596136
2014-07-14,0.4390045041293326
2014-07-15,0.0673684236005688
2014-07-16,-0.10106966244005379
2014-07-17,0.3616944684206732
2014-07-18,-0.45021429631814486
2014-07-21,0.24008604081300666
2014-07-22,0.06728909329512281
2014-07-23,0.23096153210983944
2014-07-25,-0.48352943872404985
2014-07-29,-0.3927452840762397
2014-07-30,0.6537211446197986
2014-07-31,0.23094213619228063
2014-08-01,-0.05453820956192268
2014-08-04,0.259838375940862
2014-08-05,0.571775936404838
2014-08-06,0.3323780533054912
2014-08-08,0.3106042709994116
2014-08-11,1.4246366370792862
