date,r_log_F,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2018-02-09,-0.8268414694683099,1.6201495124947016,1.5394369458489376,1.5278629128629109,1.6981678568328913,1.6320452635053664,1.8058547306149464,1.8013823072818491,1.8013823072818491
2018-02-12,-0.15431185921596,1.772990755914482,1.3931353651302703,1.7488005383449694,1.8928699230040078,1.7964355115486208,1.965441927133383,1.9298990192548953,1.9298990192548953
2018-02-13,-0.59573630258118,1.7628508332343429,1.2977129962008773,1.795755828212336,1.9402878073643972,1.764622061206052,1.9312488366548912,1.9156323125603407,1.9156323125603407
2018-02-14,0.6788568915858101,1.6599257164646506,1.3231059697515717,1.6395921568006775,1.8035723152140344,1.6659569362328601,1.8400501390292199,1.8333373614721478,1.8333373614721478
2018-02-15,0.14233189450644002,1.6384211789071286,1.3492367931302716,1.6458604801394012,1.8048817097640935,1.6336885131597367,1.804206611870277,1.8085714968790723,1.8085714968790723
2018-02-16,0.82625588102575,1.6363966926547533,1.279031006443781,1.663984094670727,1.8238615433060024,1.638132724934525,1.8108701195620085,1.8042288276680123,1.8042288276680123
2018-02-19,-0.21181462379164998,1.5670336045930469,1.2410091331128879,1.5261761909483054,1.7016693038574262,1.5695156884472612,1.7460052809873592,1.7499305799389537,1.7499305799389537
2018-02-20,0.17654332838161,1.6217548149958585,1.2208232386291378,1.6203979418062124,1.780524394180472,1.628926592842401,1.8011956531602762,1.7894851411821586,1.7894851411821586
2018-02-21,0.38730169885224996,1.5579834163922819,1.2707418683164389,1.5196693613849477,1.688928470736069,1.5637441634465323,1.7398509156694393,1.7378610793272522,1.7378610793272522
2018-02-22,0.15216249204994,1.507564378854386,1.6428591217623827,1.42242520456275,1.6016756701020698,1.5116440348311107,1.6915415750399287,1.6949717919053289,1.6949717919053289
2018-02-23,0.64121467148337,1.4943141689211694,1.4606657504709009,1.4074595757355557,1.5816023641694879,1.4961509864509266,1.6746288085098187,1.6802063535703138,1.6802063535703138
2018-02-26,-0.7348257244227799,1.4597899503784295,1.3767783379791274,1.328353049396694,1.5077900687921817,1.4595843150425984,1.6408189040737675,1.647965408130819,1.647965408130819
2018-02-27,0.16376188008844,1.5046586006334344,1.2916168278856366,1.4117355083155216,1.5751454001133907,1.5052830445405243,1.6828521064561062,1.6848593756473202,1.6848593756473202
2018-02-28,0.78002607500282,1.5594622077891422,1.3143595581709444,1.515546189351675,1.6611991620038238,1.5405037080458233,1.7075433720437085,1.7274289571203463,1.7274289571203463
2018-03-01,0.80850521267399,1.5071172009975347,1.2793885384533075,1.4110502630232113,1.5675982339132735,1.4926334767657632,1.6632232208954465,1.6846273085700114,1.6846273085700114
2018-03-02,-0.70418761410939,1.5631323152727166,1.2940938156633508,1.509360286727575,1.6531611375612114,1.5575214582667039,1.7249849181937704,1.7294958434461891,1.7294958434461891
2018-03-05,0.57756889215683,1.6059586085176638,1.231059520265512,1.5924257076680397,1.7298057263970108,1.608668288376521,1.7751903939410858,1.7656972887882922,1.7656972887882922
2018-03-06,0.43673210434863996,1.6145037118321948,1.1922150701184615,1.636233252913564,1.7672121105615586,1.6018803845384715,1.7614729376473173,1.7676502364934166,1.7676502364934166
2018-03-07,-0.42521468423802006,1.5903115700325374,1.1762638122930935,1.6157941970800658,1.7555760776919056,1.5852845801803321,1.747596715759561,1.7462602541133596,1.7462602541133596
2018-03-08,-1.7308906312699799,1.5510270842043044,1.321989423391296,1.5582657413448726,1.7110067786782812,1.5491187521215712,1.717501811675537,1.7149977349584191,1.7149977349584191
2018-03-09,0.88661336738311,1.5247862839930486,1.2456839239032178,1.5308171725260906,1.6825838558122805,1.5177874581710808,1.6859525406124745,1.6912056886166023,1.6912056886166023
2018-03-12,0.28993931590025,1.9236502821082784,1.2569493934445755,1.9418443741638762,2.039715912036575,1.8340173038997611,1.960806540020899,2.0564369449221336,2.0564369449221336
2018-03-13,-0.87235214449912,1.871508417516091,1.2496700893498633,1.9316881117231828,2.0517386987144057,1.8220382150271621,1.9632867266500036,2.0121932491584222,2.0121932491584222
2018-03-14,2.56039819858748,1.7397588334716543,1.202948390111296,1.7593229752346746,1.911107031544134,1.7100933126059805,1.8657375428938736,1.900077780919515,1.900077780919515
2018-03-15,-0.6397097438107701,1.7456448299112528,1.1897244080844056,1.809194566535054,1.9545409524307182,1.7048230602716021,1.856829760547632,1.899556749853326,1.899556749853326
2018-03-16,-1.15261764757665,2.4258554056215944,1.5806723870849777,2.4042330518817936,2.486693708583697,2.4655160091201878,2.6094229305627583,2.560151883501992,2.560151883501992
2018-03-19,-1.18951839892807,2.196735133453044,2.087581899781728,2.20928342187743,2.3399200584795956,2.2357985849694004,2.397349361161967,2.354586865039464,2.354586865039464
2018-03-20,0.03518855235418,2.1371088324019873,1.722006979467522,2.2127029995695944,2.3574584051352647,2.1493503809866596,2.312202061710139,2.2951903017257025,2.2951903017257025
2018-03-21,-0.01172814168938,2.1071268567576458,1.4902242216439023,2.2294828784621323,2.386168944932355,2.0953383031370083,2.258469958373533,2.2652238445979704,2.2652238445979704
2018-03-22,-0.27012759393632,1.91503288719251,2.34851744279778,1.928566304487127,2.1363266210826497,1.9180014609773415,2.102214011269851,2.101482435729514,2.101482435729514
2018-03-23,0.5044294818177599,1.7675106369538784,1.9116945308672408,1.7063613476701054,1.937423129962401,1.7782741764728096,1.9766337397926494,1.9723588132702778,1.9723588132702778
2018-03-26,1.64794259697464,1.6670642031657879,1.6820062653087466,1.6003746003307922,1.829853146714548,1.6787192033029974,1.8798665209654746,1.8756766267532203,1.8756766267532203
2018-03-27,-0.25354398738619,1.6174726436872622,1.5086845966717959,1.5694885814634978,1.790925972805432,1.630371215822031,1.8303506943440515,1.8212968379699825,1.8212968379699825
2018-03-28,0.17294060919532,1.9184030426104208,1.362571213157063,1.9056616927543988,2.0668575339669757,1.9531457141539272,2.1278198549336205,2.0821215787292138,2.0821215787292138
2018-03-29,-1.28689967999824,1.7790653588491947,1.376168588399961,1.7505081369976623,1.930856547106713,1.811850883560992,1.9973976904605741,1.959322323750364,1.959322323750364
2018-03-30,0.7208495346145001,1.6676007615732842,1.302163140603628,1.5940290981296186,1.7984292284636954,1.6970790593439007,1.8940660482118095,1.8619694785704057,1.8619694785704057
2018-04-03,-0.88434367356742,1.8230519361834572,1.2399309532793223,1.8214342918930633,1.9812624049434011,1.8025501467749323,1.9717574825581807,1.9878474694550108,1.9878474694550108
2018-04-04,0.04673989334915,1.7677702196991552,1.4745177279494677,1.7979368157454805,1.9681027446721528,1.7623111819444417,1.9390546208832067,1.938888739066604,1.938888739066604
2018-04-05,-0.64459643058256,1.7698673715847186,1.453317148335614,1.8441511972674434,2.00832050840802,1.751036355204411,1.923041032589595,1.937506243795616,1.937506243795616
2018-04-06,-0.40056603984112,1.6586850158386812,1.366867892374518,1.634944158174252,1.8331429005833833,1.6489572074964478,1.8334731132726096,1.8437160350874924,1.8437160350874924
2018-04-09,-0.68704368807373,1.6407671411106728,1.6442471403455008,1.6534908287940004,1.8414704673100204,1.624770535875736,1.8072853957692119,1.8234129329041662,1.8234129329041662
2018-04-10,0.23744520238279998,1.590520813590495,1.4984152207801025,1.5982494675950902,1.785178917636031,1.5764563547128916,1.7598181721438537,1.7758410735136119,1.7758410735136119
2018-04-11,0.09482044090783,1.6035587264654836,1.4635465668008916,1.6374504400677488,1.8095513312371423,1.5813159752678503,1.7565824133117542,1.7799478663844954,1.7799478663844954
2018-04-12,-0.43930020188288,1.544848482997463,1.4754761482679284,1.5251728920465366,1.713226828123523,1.5293082349303302,1.7101078096228417,1.7311065984550635,1.7311065984550635
2018-04-13,0.30889890310101004,1.4945326542440898,1.7371551917490404,1.399280903869099,1.599605590479557,1.482513785442052,1.6663698962265907,1.6880953288514862,1.6880953288514862
2018-04-16,-1.0733555643108499,1.4897861245787416,1.6023477222711986,1.4118012791844172,1.596742466144241,1.4746476356735876,1.6555246333175926,1.6767854370967255,1.6767854370967255
2018-04-17,-0.16800675978717,1.4666672813759085,1.4298397902244864,1.365075887658756,1.551738052326816,1.4541094621513175,1.6363904042677269,1.6548048356946459,1.6548048356946459
2018-04-18,-0.21642427589179,1.6275027075466268,1.329743837212119,1.5838092546013616,1.726460174751884,1.5847475482990698,1.7427308627151943,1.7894846422177588,1.7894846422177588
2018-04-19,-0.79758730972402,1.554782944350114,1.4871102040319193,1.4744723310998853,1.6286305852216607,1.5227999281679536,1.6893933672566674,1.7295491702960573,1.7295491702960573
2018-04-20,1.0500368036577798,1.5046778667002239,1.5143386959299974,1.40447934780544,1.562881467221351,1.479483963098039,1.652056600280982,1.684428292515272,1.684428292515272
2018-04-23,-0.44522063796703,1.5642969553859758,1.5296254682363841,1.514810627110418,1.6518535683793363,1.526242323282648,1.6890735019115701,1.7308695009521753,1.7308695009521753
2018-04-24,0.57720217971221,1.666645384604377,1.5005500443807067,1.6578042799651183,1.783104559138291,1.6504527305154324,1.8119344628511305,1.8252370943123601,1.8252370943123601
2018-04-25,1.42859572474764,1.6054742417140135,1.3452712118269547,1.6015976002142585,1.7348119581356811,1.589113296693782,1.7551522684955931,1.7706302786648616,1.7706302786648616
2018-04-26,-0.16562171063801,1.5769911708544204,1.266457834175759,1.5798331827598333,1.7235836501479487,1.5675629118572598,1.7387999194021846,1.7463075150978624,1.7463075150978624
2018-04-27,0.43712043138459,1.8036912062703183,1.3657255979469924,1.828959064036795,1.9503324371115047,1.8162900438867096,1.9775202843073987,1.9572190730857366,1.9572190730857366
2018-04-30,2.0188561278528,1.6776587587963134,1.366710557131283,1.6599708158225028,1.8029511609179125,1.6940845515048797,1.8634783550693323,1.843553979715114,1.843553979715114
2018-05-02,0.23078708605022,1.6061463724949563,1.303890265132003,1.584443273490096,1.7415412384800895,1.6241263844322043,1.7993652324948137,1.7769315652992383,1.7769315652992383
2018-05-03,-0.79847672972906,2.057969254661023,1.2130757384872046,2.0224989930403066,2.109327493285609,2.109346032699442,2.245797877511817,2.180823169419757,2.180823169419757
2018-05-04,-1.9001275407573899,1.8807755198313392,1.3850425176674204,1.8133003284962095,1.9475034813515237,1.9373037243557454,2.0942868018522676,2.0262241442509326,2.0262241442509326
2018-05-07,0.14199505403216,1.8284271039851625,1.3360484188240438,1.825607836094382,1.9571852466431523,1.8613969525184488,2.0207448713080565,1.979442399877066,1.979442399877066
2018-05-08,-1.22540347251014,2.160487958015621,1.265071860334678,2.18508685322476,2.2662799224159236,2.0776913694815367,2.1978429768284604,2.2796054705157034,2.2796054705157034
2018-05-09,-1.2527265728394001,1.9535627240219249,1.7068655259828005,1.9120210258362234,2.054615494082691,1.9044230571059986,2.051682647323308,2.10240018876909,2.10240018876909
2018-05-11,-1.28089582925811,1.988487887353639,1.669670948134575,2.023286345327447,2.15071313036789,1.9108850751887583,2.0497316686203693,2.134963443091374,2.134963443091374
2018-05-14,0.73394824880457,2.0207397441554207,1.5270974975983287,2.112741219273778,2.230930841142221,1.9212186112850123,2.050169213463589,2.1645834500910417,2.1645834500910417
2018-05-15,-0.9305809777618799,2.0519186417793023,1.4654307035624738,2.1871398496988417,2.3027723260615933,1.9372474991837134,2.0591297818882444,2.193888649022699,2.193888649022699
2018-05-16,-0.45619954589362,1.9325097806935512,1.3591588857533796,2.066354357862182,2.219414150381937,1.8586240793772495,2.001374354889552,2.09579762842573,2.09579762842573
2018-05-17,-2.4519617174318697,1.8966434455100212,1.3691447160633388,2.0544810287475457,2.2060204814942694,1.8211955839794849,1.9589822949160727,2.053908377174112,2.053908377174112
2018-05-18,1.23349581579513,1.780968894626397,1.3970646944211886,1.9159429752282766,2.0869872477644202,1.725882787228683,1.8752798453611468,1.9462076096728569,1.9462076096728569
2018-05-22,0.18746490524134,2.3757464629319625,1.4950382524164914,2.423742802226887,2.5111796805126225,2.165733543476103,2.2508280614631664,2.4817665833102946,2.4817665833102946
2018-05-23,-0.03746487711633,2.2832315083096812,1.3429149325837675,2.378867524526446,2.5008986675015445,2.164915049928129,2.276098351910451,2.416998073542638,2.416998073542638
2018-05-24,-0.77743338275104,2.0551628781275015,1.2379580951550628,2.074741716718138,2.253175460438602,1.9819256332498296,2.1190804719057286,2.2137652550569786,2.2137652550569786
2018-05-25,1.26338537014752,1.8759758145913412,1.2913783618639894,1.8269048127516407,2.03553216492636,1.835426299389661,1.9935719068345346,2.0530322977754016,2.0530322977754016
2018-05-28,-1.75553097829112,1.8197060191560859,2.0862586826473364,1.8293872776060849,2.0263158359213502,1.7767741078844157,1.9374616285926192,1.9986050777268514,1.9986050777268514
2018-05-29,0.025297242735460003,1.8962108029560627,1.8287873018463834,1.9511104212780193,2.1308259721853227,1.8924053475933365,2.0512384599211866,2.0684985562032905,2.0684985562032905
2018-05-30,-0.29130537983160004,2.1303831019641293,1.6577677579185501,2.2120824065345293,2.346610036937277,2.0322369792616266,2.162160231575401,2.2738192342888697,2.2738192342888697
2018-05-31,1.0095996911476,1.933721931759703,1.5737155692452132,1.9156963912106935,2.0982209700861665,1.874599268117535,2.0250221243794613,2.098753891249358,2.098753891249358
2018-06-01,-0.32700318410762996,1.7937773566252333,1.430310540182439,1.7672526671673412,1.9661820619569375,1.758771437550647,1.9247787333472195,1.973441523398021,1.973441523398021
2018-06-04,-0.37864490525030997,1.8065473496712512,1.4056637895622532,1.8306305683308775,2.020004877630791,1.800304132078869,1.9681086627257265,1.9850608100754503,1.9850608100754503
2018-06-05,0.5171229282605,1.6975557218369726,1.4548691202481816,1.7071962676017518,1.9014611183054537,1.7003934987481248,1.875234940624123,1.8802124693766755,1.8802124693766755
2018-06-06,-0.71965464306066,1.622674949518839,1.3146092207483169,1.6268592475534924,1.8231286456742688,1.6258837141656317,1.8063381645323175,1.8090394896799111,1.8090394896799111
2018-06-07,-0.46993164527843995,1.581080808933954,1.2633142921611338,1.5828179018723538,1.7810072221456956,1.5897718331701423,1.7729456545051314,1.766794788231787,1.766794788231787
2018-06-08,-0.94654070727913,1.5950890945333354,1.3323778704843332,1.6271082195815427,1.8075111296551913,1.5794620227848928,1.757162137155942,1.7729757684414522,1.7729757684414522
2018-06-12,1.1754319567537,1.5576457101618955,1.2636426291556433,1.5882013614680435,1.76722925698387,1.5386443954038072,1.7186788029077242,1.7371359444013337,1.7371359444013337
