date,r_log_ca,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2017-12-27,0.0767616538417258,1.7895493761900383,2.4047133315446594,1.9379503513120817,2.62707668224914,1.7128517774247045,2.326994597460676,1.8367789416455118,2.4780344480091236
2017-12-28,-0.5494822976292584,1.7422750564463854,2.34644729577225,1.9014740539959218,2.5789961623601285,1.7022657529886476,2.322904354442683,1.79143347132682,2.4222202476540198
2017-12-29,-0.504317887551035,1.6584554711971677,2.2402909376248115,1.7523840785877158,2.378412786524283,1.6378933840485461,2.2230256610784607,1.6907377124781104,2.280166426754351
2018-01-02,-0.4520260307677929,1.656335085753257,2.23443658402981,1.7763697322229812,2.4092418491942453,1.6842758605527892,2.3068018933897148,1.696189287925488,2.291075549978854
2018-01-03,0.8037740115411448,1.6432567994040823,2.2134645248673213,1.7846563103080808,2.4169834604797464,1.7082174898149474,2.350035940087254,1.688505618553524,2.283795204632848
2018-01-04,1.5339600629815977,1.6271207685664812,2.1970344554597165,1.7837416595452946,2.4242086257802407,1.7302973297608033,2.379997102700551,1.676226438454984,2.2724217214456863
2018-01-05,1.0484798781091569,1.6638042927115864,2.241765549918461,1.8418547054964987,2.4982660174313813,1.6682820653420218,2.2653943302640873,1.7197980318538404,2.333745553928607
2018-01-08,0.3042466917879702,1.9855839636844355,2.677173254270217,2.1158579182960198,2.880844594321204,1.6360999988020364,2.170065308506691,2.0210296185003345,2.727006286262377
2018-01-09,0.6633177716181998,2.0583921322253844,2.77254600117259,2.2208090558103826,3.0263383142913236,1.5958647783621953,2.0885912098290396,2.1079632613117725,2.8389742379863425
2018-01-10,-0.3492691741910592,1.95801228027113,2.648220899905326,2.095930282812899,2.8612596391021285,1.5333655201630056,2.011029996542232,1.9980752527172772,2.692415560489539
2018-01-11,-0.2934602969008146,1.914366890396687,2.5892476669512376,2.076101495304136,2.8313478343130405,1.4797580309885359,1.9311869755279507,1.961076450136717,2.649793279818038
2018-01-12,0.5181051851949221,1.8506817659248942,2.513962728391103,2.015240161206275,2.7581214078199223,1.479222508924715,1.9615814863643608,1.897668438127986,2.572273046049433
2018-01-15,-0.1336770723015575,1.778529613178813,2.419123661447622,1.939774535548095,2.6526828128258653,1.4616304217768772,1.9547310059635106,1.821959824762658,2.474562839547294
2018-01-16,0.0749286405786669,1.72656009816021,2.3467412480479997,1.8974806062736542,2.589805484738591,1.4096041317043606,1.8782021246573126,1.7717621791841418,2.4096624547290335
2018-01-17,-0.3602825845973958,1.6489869481380635,2.246792424252748,1.7935523144761778,2.447224946265845,1.3677333791311599,1.8301582184697651,1.6848492876961292,2.2928703141150617
2018-01-18,0.0152854215057012,1.5667583974232622,2.1361473238179287,1.6501792086170584,2.2475623397468594,1.3174150641505094,1.7627330343544254,1.5896494114178754,2.1548170186216127
2018-01-19,0.5748806442226512,1.5301467901246173,2.0821927063015897,1.6286380440874042,2.2119318935924706,1.3364033554140236,1.8038030988034874,1.5573562639700707,2.112665579936471
2018-01-22,0.2797213505675441,1.4558067233697682,1.9836235341166795,1.508015312829465,2.04431614038307,1.2875090589447293,1.736787995615313,1.4741417736725406,1.9937475900253439
2018-01-23,-0.1215187808929083,1.4478314313260725,1.969833452930432,1.5254841341350567,2.0651636836263703,1.2486694926245556,1.6790317661313476,1.4742352000538157,1.9996832232150195
2018-01-24,-0.7270763273021268,1.3895228620925273,1.8953224625842495,1.4589842300983495,1.9781005416545026,1.2070664416866572,1.6251298524775386,1.413981545503255,1.9231532919837062
2018-01-25,-0.2541860865594971,1.3353854445290858,1.8267000203899484,1.3922773481284063,1.8886386783175912,1.178722096957435,1.5949618107016998,1.3568844476865611,1.8488985257218078
2018-01-26,0.8708206625954116,1.4402785286564705,1.9388223073778459,1.5076260801251289,2.0274574650920374,1.4150755995034725,1.9309744505926683,1.464510026422792,1.972838652945038
2018-01-29,-0.1368245012891777,1.398078135902181,1.8787746650231931,1.4702849927900565,1.971028362992674,1.3952166802121935,1.901257404974194,1.4237676945589666,1.9171207634596406
2018-01-30,-0.8696453420503255,1.4972746773906327,1.9913435113748665,1.5868566852659494,2.110702855108989,1.3589728379086274,1.830216584815011,1.528614941380582,2.046459815505357
2018-01-31,0.1487880230065058,1.4343652024519356,1.909248761425385,1.509053060747304,2.0037077696370043,1.321091404098493,1.7795568850342525,1.462355368824464,1.9558569627193472
2018-02-01,-0.5007173852805809,1.581286624349321,2.0701102460356324,1.662766950895405,2.1867646704785777,1.6153245800356864,2.173940505093661,1.608083723484286,2.125232381549795
2018-02-02,-1.6557442380044811,1.5038701353727242,1.9766481954350537,1.546651291660662,2.0401336944901356,1.5426542878984293,2.0750324332032597,1.5228413410823587,2.010603406362508
