date,r_log_ca,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2017-12-27,0.07676165384172,1.265308110336353,1.4859497051181216,1.370235627849435,1.61868266432428,0.8077654769418665,0.8991846701100973,1.5399859514704246,1.5399859514704246
2017-12-28,-0.5494822976292499,1.2318825825435313,1.4485730717126,1.3444448566083695,1.587640431915385,0.8042152198912031,0.8602393988295677,1.504136668745604,1.504136668745604
2017-12-29,-0.50431788755103,1.1726176206172785,1.3815647241337607,1.2390302107003572,1.4625448165236288,0.7952090053001826,0.868522606755584,1.4147640344162735,1.4147640344162735
2018-01-02,-0.45202603076779,1.1711183791655333,1.3788548533789304,1.2559893710015437,1.4824475549146297,0.7696027395700811,0.8338625917443102,1.4222602309813068,1.4222602309813068
2018-01-03,0.80377401154114,1.1618713325588148,1.3670366578834396,1.2618484345793262,1.4883790299531094,0.7681447797717313,0.8083945690560327,1.4186703690756983,1.4186703690756983
2018-01-04,1.53396006298159,1.150462280881496,1.3546710711596603,1.2612017109562856,1.4901732764856808,0.7487660321649928,0.7874227213198007,1.4096920745631476,1.4096920745631476
2018-01-05,1.04847987810915,1.1763995188567349,1.3846740535466426,1.3022907774817254,1.5381653626814367,0.7322432142465238,0.7785786575756638,1.4497607574357638,1.4497607574357638
2018-01-08,0.30424669178797,1.4039151626163573,1.6555864488387095,1.4960258627653746,1.776376111539999,0.7149107100790781,0.7564223549876904,1.695845128924122,1.695845128924122
2018-01-09,0.6633177716181899,1.45539444342415,1.7136610944388344,1.5702319553498805,1.8649227156917623,0.7448025833096231,0.7576412850713196,1.764852193447328,1.764852193447328
2018-01-10,-0.34926917419105,1.384420462638529,1.6342700152736234,1.4819359312789238,1.7604861100328504,1.000460419772029,1.1869598790677511,1.6716623577609262,1.6716623577609262
2018-01-11,-0.29346029690081,1.3535608159879844,1.599527689123472,1.4679309122700395,1.7437945972434732,1.438337176970066,1.8286322504751906,1.6465389987250696,1.6465389987250696
2018-01-12,0.51810518519492,1.308531987902838,1.5502204811637081,1.4248836728138756,1.6955047367937455,1.2849074171672887,1.6337168051853357,1.596029167544616,1.596029167544616
2018-01-15,-0.13367707230155002,1.2575165253980338,1.4918046988735505,1.3715253815249238,1.6307422240928076,1.166551812866765,1.4752010321926903,1.5354648691688508,1.5354648691688508
2018-01-16,0.07492864057866,1.2207712719032116,1.4489659406815485,1.3416212757992123,1.5940919891246754,2.370340629355169,3.1435825396634054,1.4967780031396762,1.4967780031396762
2018-01-17,-0.36028258459739,1.1659228602120502,1.3867784373325784,1.2681383809240485,1.5056578928042332,4.813350887095378,6.31400376092647,1.4238718717843346,1.4238718717843346
2018-01-18,0.0152854215057,1.1077828296847527,1.3195686326471663,1.1667658599941262,1.3840447270447112,4.138512614446402,5.48041433007463,1.3392187204781434,1.3392187204781434
