date,r_log_s,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2018-01-18,-0.1617697497473624,0.9379918235246472,1.1302530192755953,1.0043932963294795,1.199830926823938,0.8077654685327791,0.8991844458775514,0.9267745082091714,1.1196316669024804
2018-01-19,0.4375647986990156,1.077701199457897,1.3200525455351513,1.1439299515917514,1.3741413212666695,0.804215214298555,0.8602396532417297,1.0663739740628517,1.3123553388842395
2018-01-22,0.803436438221324,0.9958124886025018,1.2204255826210255,1.0617417105561413,1.2858064874219735,0.7952090095340092,0.8685233517858307,0.9857084416307665,1.2124377284444676
2018-01-23,0.2172004968222319,0.9554872974813684,1.1691259282511641,1.0313222938073203,1.2573462868209666,0.7696027436492363,0.8338625244790087,0.9427992829188311,1.1577566258989096
2018-01-24,-0.0560132547232047,1.0333496449879556,1.2716154294956328,1.1179750172918983,1.3651475244169857,0.7681447803836918,0.8083948367860829,1.0122943862021947,1.2572410682926543
2018-01-25,0.0602439398832889,0.9521758305355821,1.160706817762842,1.013777195175804,1.2396316283055295,0.7487660319488674,0.7874215021905252,0.9362258796345521,1.150543018866622
2018-01-26,1.1771638106084168,0.8887660058705853,1.0769344593851506,0.932649649763497,1.1429032344811172,0.7322432102089329,0.7785805108897664,0.8814063331164961,1.069920241397716
2018-01-29,-0.6754736284863033,0.8334098246896963,0.9958119630941855,0.8357670628125095,1.019426608915256,0.7149107269207291,0.756422552568684,0.837704348405105,0.995703197120463
2018-01-30,-1.0958642805337084,1.123773702351333,1.3892623415231367,1.103019752340577,1.337781416469155,0.7448025894171083,0.7576422117643478,1.1358509875957872,1.404514786855256
2018-01-31,0.0488865858694788,1.1538731568512037,1.4450661985788598,1.1806652058073124,1.442447925807718,1.000460407304629,1.186959981454833,1.1414032952719304,1.445250160770377
2018-02-01,-0.0648298352023325,1.3445026194871181,1.707511187430402,1.37789123999651,1.6910016505952459,1.4383371925527353,1.8286306681932987,1.3250906957462416,1.706250734386145
2018-02-02,-2.143668051669881,1.1988349349917955,1.5324632481968345,1.1924503513361,1.4860970776380096,1.2849074015275668,1.6337162564444876,1.193986693734427,1.5386766258459987
2018-02-05,-4.184254093838143,1.0860313427144674,1.3854356691877217,1.0771870800044303,1.3478496117840542,1.1665518074946326,1.4752009853828651,1.089353125437256,1.3939774574817243
2018-02-06,1.7290573348937088,1.881914293355809,2.46288691413332,1.7244552980036774,2.156674172021534,2.370340692494029,3.1435879536657283,1.9944122036457341,2.5613595007367818
2018-02-07,-0.5014138223752627,3.6791711453536577,4.765678646506188,3.238059984456664,3.9676097469007483,4.813350761388494,6.3140087475435624,4.135209374743598,5.128497646949705
2018-02-08,-3.82590522458017,3.366140775177447,4.459039170398798,2.957725971674906,3.8557763231816926,4.138512633190746,5.48042456267935,3.70144755746233,4.702744004380375
2018-02-09,1.4825645199524344,2.889961438073029,3.9357798070429806,2.46068046364541,3.3826552876184888,3.592486981272668,4.830603836895121,3.232012258957418,4.15658176103679
2018-02-12,1.3818665678186273,3.8970782980113983,5.214835385465832,3.340859012146812,4.4721889000023,5.021983856047548,6.69575680827434,4.170159198247716,5.44661513509794
2018-02-13,0.2609521980277558,3.473391885431551,4.745156601119279,2.9637056805000386,4.144471813338019,4.313370661143931,5.81412735120227,3.7054876077466914,4.9131854101761165
2018-02-14,1.3313439808897014,3.1158362839539366,4.34355422183523,2.678777816393123,3.8708145417922295,3.7181820456719987,5.073524455592318,3.3023834227581097,4.46182038197734
2018-02-15,1.199686177677526,2.6543547586532004,3.78750408453919,2.1603880609281605,3.250437454573275,3.1968334380978525,4.418562847557586,2.895600443705963,3.928379765935571
2018-02-16,0.0373399649921694,2.464592111463843,3.526015944868962,2.1136433198319047,3.146134923277139,2.775484945908423,3.850342773997295,2.6205737232305415,3.6082237344644508
