date,r_log_F,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2018-02-09,-0.8268414694683186,2.291408399239865,2.6932630013984156,2.1608856269221537,2.5710275918401964,2.3082327453228966,2.7223084603233505,2.30538986465207,2.715304634467279
2018-02-12,-0.1543118592159609,2.507574802078924,2.907275188899939,2.473361916622457,2.8653693176029305,2.5407331297539653,2.9627372966476075,2.506593238060315,2.9087107334005875
2018-02-13,-0.5957363025811852,2.4932334588841187,2.8976346228357936,2.5397715881415497,2.938812121530616,2.495738708542163,2.9130028664268055,2.4850680633675712,2.889025964454787
2018-02-14,0.6788568915858164,2.347664579625527,2.7588039171236787,2.318906477869791,2.732814516945359,2.3561947613995855,2.7763968261114496,2.3515334914505437,2.7659491800177953
2018-02-15,0.1423318945064403,2.3172503796868686,2.722481609971318,2.327771907863926,2.7338990391813427,2.310556849634239,2.721426553961334,2.3187534588516967,2.727639507964523
2018-02-16,0.8262558810257559,2.3143871195037953,2.719787969083919,2.353404454768271,2.762303584235839,2.316842362775826,2.731203598069033,2.312847357560082,2.720849265076009
2018-02-19,-0.2118146237916502,2.2162855316227574,2.622508631799343,2.158500132606299,2.5777007678864274,2.2197962105680182,2.6337109503624028,2.2268637392046102,2.639262971665511
2018-02-20,0.176543328381611,2.2936786617961125,2.6916248465480845,2.2917594337255602,2.6946970033908073,2.303821964326048,2.71477423862216,2.2953346146717415,2.6966187582999406
2018-02-21,0.3873016988522584,2.20348572933689,2.606725121652748,2.1492973538290414,2.5593156646761877,2.2116332721658463,2.6252185976005786,2.2132184660807215,2.6219275991705473
2018-02-22,0.1521624920499478,2.1321771238746203,2.5400419373697574,2.011763157727272,2.4298158707315785,2.137946962052054,2.554938209000544,2.1470455130293282,2.5601472347769643
2018-02-23,0.6412146714833765,2.1134370510693525,2.5160081230293803,1.9905969366595886,2.398435676307765,2.116034916750675,2.5285622749772214,2.1286609193768875,2.537053613783962
2018-02-26,-0.7348257244227898,2.0646087462193314,2.4708159749186924,1.8787150930144803,2.2889331288091217,2.0643179068057833,2.4804613709656143,2.0811284920814943,2.491433985372529
2018-02-27,0.1637618800884449,2.128067305290483,2.5287028457126137,1.9966445544082758,2.3897822144130987,2.1289505849119577,2.5426670550179558,2.139874025448356,2.5457972531696624
2018-02-28,0.7800260750028297,2.2055771722426156,2.597525651928439,2.1434659915534024,2.519162437540395,2.1787636979113056,2.578683479415837,2.211372085715307,2.6087388832896266
2018-03-01,0.8085052126739908,2.1315446392162123,2.5255328592604185,1.99567526782059,2.3774237027595735,2.1110599858067696,2.5118541217913175,2.144407163747305,2.5443259399711464
2018-03-02,-0.7041876141093947,2.2107679447398216,2.5999680754553736,2.1347172621045414,2.5054110953078483,2.202832138384429,2.6032865514501933,2.216604209531505,2.610311017540439
2018-03-05,0.5775688921568363,2.2713378231198127,2.6599727693739394,2.2521979271753354,2.6204094538795353,2.2751702390680117,2.678070476881322,2.2718729439507483,2.6641189965542207
2018-03-06,0.4367321043486479,2.2834233513746334,2.6654229333533586,2.3141559921350896,2.6759047867196366,2.2655699250976022,2.6559721749312124,2.2811215903943656,2.66563930527366
2018-03-07,-0.4252146842380248,2.2492079038723505,2.6325693807925945,2.2852485138974807,2.65774272356897,2.242098179426846,2.6343084062243673,2.247511930939845,2.6327455772477477
2018-03-08,-1.730890631269986,2.1936471173669414,2.5843169365858127,2.2038849857152734,2.5919435792509566,2.19094819289742,2.590882886806319,2.194975342896356,2.5874081559306195
2018-03-09,0.8866133673831137,2.1565343338944563,2.547990669447184,2.1650639458329715,2.550544276130959,2.146635842716556,2.5448636670771525,2.159441422724989,2.5532834482191413
2018-03-12,0.2899393159002578,2.720655342640096,3.098284192710472,2.74638715285223,3.0904091841776364,2.593885760884916,2.958970225075833,2.722992108364431,3.103208650706274
2018-03-13,-0.8723521444991219,2.6469099934810445,3.038295213345486,2.732023176807553,3.1070174223814266,2.5769436176995186,2.960986852003643,2.642791782538565,3.034903257071138
2018-03-14,2.5603981985874893,2.460574132053557,2.8659663837110787,2.4882440550512044,2.8966015292305722,2.4186175564453363,2.8158013690779025,2.461826641544452,2.8678712787904668
2018-03-15,-0.6397097438107722,2.4688987598961707,2.8720609440152725,2.55877843481748,2.9626730257093077,2.4111637937129755,2.8029034851455563,2.464148414934128,2.867289161377921
2018-03-16,-1.1526176475766508,3.4309336477533066,3.851902052128042,3.4003525411017037,3.7705309876801767,3.487026285502061,3.9425316587571806,3.441992973080137,3.867915518707301
2018-03-19,-1.1895183989280749,3.106884418047416,3.5518268009501903,3.12463155923042,3.551982349272971,3.162132579195739,3.6253761902026533,3.1136690549729407,3.5607518084102794
2018-03-20,0.0351885523541898,3.0225537675782057,3.4753984833465457,3.129468165897068,3.5808046579379034,3.039867304070505,3.4979057155169104,3.0199766022178696,3.472476590150842
2018-03-21,-0.0117281416893858,2.980149715344724,3.438745994732965,3.1532002013151867,3.625715597104656,2.9634769283116165,3.4179064976442035,2.9712509535506597,3.42840598632706
2018-03-22,-0.2701275939363201,2.708467469569563,3.1864825747982226,2.7276081120679034,3.2491741885988903,2.7126660832229654,3.184221599385485,2.7069127457607522,3.183330540095774
2018-03-23,0.504429481817766,2.4998240397004587,2.987522345107264,2.4133393873869946,2.9489058633695553,2.51504700707611,2.99634689095786,2.5036310478166444,2.989998689810915
2018-03-26,1.6479425969746466,2.3577607344431026,2.837087190813964,2.263440378440116,2.78448533882359,2.37424467026436,2.849107036499603,2.36391226801188,2.842833319847657
2018-03-27,-0.2535439873861994,2.2876224447485436,2.754435306455932,2.21975766557475,2.7238437637622797,2.305865056951754,2.772981145511735,2.292487328368988,2.7593984284492348
2018-03-28,0.1729406091953265,2.713233939081584,3.15078371827779,2.6952136465717484,3.140596819373476,2.7623713485518273,3.220613331807349,2.7143646239426715,3.151651604939696
2018-03-29,-1.286899679998247,2.5161661038768726,2.9613383249096983,2.47577705044629,2.9334530556159555,2.562535273814851,3.0229303995203805,2.5200403690116873,2.965461168939877
2018-03-30,0.7208495346145086,2.358519571900673,2.8151875244872224,2.2544657466337243,2.7353847049878475,2.4002113060493064,2.869611340322474,2.3645976477726007,2.8211439513466305
2018-04-03,-0.8843436735674245,2.5783772413834383,3.0120398707222638,2.5760893144350736,3.013322955860126,2.5493810386325517,2.9871553369470436,2.5781701560832935,3.0116427104819987
2018-04-04,0.0467398933491547,2.5001911909937387,2.938917239223618,2.542856345746429,2.991753727318587,2.492470321578839,2.9362756208090683,2.4979825608812836,2.936112803097521
2018-04-05,-0.6445964305825643,2.5031571792195004,2.940353889279548,2.608218227022768,3.054614698583801,2.4765240955520147,2.9135298537781082,2.4987263314825734,2.9356606285506164
2018-04-06,-0.4005660398411258,2.345909872567429,2.7949866563096584,2.3123327261463134,2.7901728559069072,2.332151682375728,2.779716764524004,2.34671741996222,2.795448330024355
2018-04-09,-0.6870436880737374,2.320568334021454,2.767264114526885,2.338563646752186,2.8046901906395334,2.297944001861683,2.7419239058665035,2.3200292518761723,2.7666383972589874
2018-04-10,0.2374452023828089,2.2495039836464645,2.6920815181488504,2.2604347839608288,2.718290430530489,2.2296123291617724,2.669426162579558,2.2505691727842114,2.6937890351424025
2018-04-11,0.0948204409078356,2.2679436424485857,2.6984061976335982,2.31587735929596,2.753919857488964,2.2364853226573502,2.6632195438565955,2.2671475944058828,2.69869415606802
