Date,MSFT
2010-01-05,0.00032335774030822247
2010-01-06,-0.006155929122072061
2010-01-07,-0.01045464177904206
2010-01-08,0.0068731577777098535
2010-01-11,-0.012802041305428766
2010-01-12,-0.006628667386158669
2010-01-13,0.009268470080380205
2010-01-14,0.01989965173461178
2010-01-15,-0.0032357226408691077
2010-01-19,0.007747509310412023
2010-01-20,-0.01653492385610797
2010-01-21,-0.019142353868364076
2010-01-22,-0.035615137821348314
2010-01-25,0.012354417834080155
2010-01-26,0.006120222720883951
2010-01-27,0.0057462912790879755
2010-01-28,-0.017338804613838923
2010-01-29,-0.0341851752904725
2010-02-01,0.008128308021739751
2010-02-02,0.0017586351503590715
2010-02-03,0.005955562237589969
2010-02-04,-0.027981248277045664
2010-02-05,0.006445264610348016
2010-02-08,-0.010764902684682632
2010-02-09,0.010407428029732104
2010-02-10,-0.0007139620439858886
2010-02-11,0.00463344146819055
2010-02-12,-0.0067796733711122
2010-02-16,0.019590978140563403
2010-02-17,0.008430043824286406
2010-02-18,0.013203807752599904
2010-02-19,-0.0069276307658234886
2010-02-22,-0.0013913747738425344
2010-02-23,-0.0140208227004943
2010-02-24,0.010533847991253512
2010-02-25,-0.0010480761236716669
2010-02-26,0.0024443964711468977
2010-03-01,0.012133853445056476
2010-03-02,-0.019485578217495976
2010-03-03,0.0
2010-03-04,0.00595540442496437
2010-03-05,-0.0013978275036929354
2010-03-08,0.001397827503692974
2010-03-09,0.005920324262679513
2010-03-10,0.005885655986227582
2010-03-11,0.007222854260186988
2010-03-12,0.0030792990920262154
2010-03-15,0.0006830511965679781
2010-03-16,0.00272789549959845
2010-03-17,0.008813670706768842
2010-03-18,-0.0006755543419053
2010-03-19,-0.0006757528845897479
2010-03-22,0.0003381055573659478
2010-03-23,0.009415045225092507
2010-03-24,-0.007727260513612896
2010-03-25,0.01206845969647837
2010-03-26,-0.011731381668653371
2010-03-29,-0.0023629682966706707
2010-03-30,0.006064971899883492
2010-03-31,-0.016255230879755885
2010-04-01,-0.004448413663067208
2010-04-05,0.003765362466499131
2010-04-06,0.0017067974087575856
2010-04-07,0.0010228727278263497
2010-04-08,0.01923448079518885
2010-04-09,0.013939889980318127
2010-04-12,-0.0006595723495595105
2010-04-13,0.004278502878109683
2010-04-14,0.012077966776477924
2010-04-15,0.0016206984039467067
2010-04-16,-0.006499443611309933
2010-04-19,0.011991434333767573
2010-04-20,0.01025652862550717
2010-04-21,-0.000957199825174576
2010-04-22,0.0019131598456882737
2010-04-23,-0.013792936848847054
2010-04-26,0.004833075187783817
2010-04-27,-0.00839228478793505
2010-04-28,0.0019429797593757503
2010-04-29,0.002906957750015633
2010-04-30,-0.014949543730040657
2010-05-03,0.01042365720569088
2010-05-04,-0.02393955022941923
2010-05-05,-0.00933672964599679
2010-05-06,-0.029579080957232388
2010-05-07,-0.026929104485742893
2010-05-10,0.02554808260562688
2010-05-11,-0.0020752036204079237
2010-05-12,0.019204986064878263
2010-05-13,-0.006816829109434823
2010-05-14,-0.010658507014324371
2010-05-17,0.00034555367928879087
2010-05-18,-0.007315853326932916
2010-05-19,-0.012667138620708463
2010-05-20,-0.040836654592083715
2010-05-21,-0.010009406201905751
2010-05-24,-0.021465934989144213
2010-05-25,-0.007641940770924599
2010-05-26,-0.04150956477067493
2010-05-27,0.03882096530415561
2010-05-28,-0.007722584920753752
2010-06-01,0.0034824523314700784
2010-06-02,0.021777017049952368
2010-06-03,0.015004229200880119
2010-06-04,-0.04065124544111571
2010-06-07,-0.019577788590882605
2010-06-08,-0.007142995280690181
2010-06-09,-0.012825647672731904
2010-06-10,0.008435300340491822
2010-06-11,0.02605742985022971
2010-06-14,-0.006254770746320947
2010-06-15,0.041480738215250924
2010-06-16,-0.009830126824277434
2010-06-17,0.0018977624372523115
2010-06-18,0.002651310720998277
2010-06-21,-0.018706460452566697
2010-06-22,-0.0069604932987092395
2010-06-23,-0.01801168844302012
2010-06-24,-0.012323701458836957
2010-06-25,-0.018978877816896486
2010-06-28,-0.009008962872200911
2010-06-29,-0.042005831421831424
2010-06-30,-0.012953309692093842
2010-07-01,0.006497737670505187
2010-07-02,0.004738541753385991
2010-07-06,0.02336015251449364
2010-07-07,0.019951091197718512
2010-07-08,0.004517052178475242
2010-07-09,-0.005751983735252292
2010-07-12,0.022811333432184486
2010-07-13,0.012010031631648972
2010-07-14,0.01225993493765372
2010-07-15,0.0027478021180411473
2010-07-16,-0.024603910230978236
2010-07-19,0.013567307630125452
2010-07-20,0.00985978385303063
2010-07-21,-0.01422920318629247
2010-07-22,0.028259165810889164
2010-07-23,-0.0011613881644373211
2010-07-26,0.011173012529322356
2010-07-27,0.0022965376816881425
2010-07-28,-0.008060134618613626
2010-07-29,0.0030781880827951166
2010-07-30,-0.008487603675191755
2010-08-02,0.0199471249325963
2010-08-03,-0.006477574721585789
2010-08-04,-0.01657421371423876
2010-08-05,-0.01409026767067774
2010-08-06,0.007070049790058528
2010-08-09,0.0023456188120949354
2010-08-10,-0.021310906952720695
2010-08-11,-0.008412258077657948
2010-08-12,-0.014994998712493348
2010-08-13,-0.003681690648400222
2010-08-16,0.004090012387592625
2010-08-17,0.01385496173759263
2010-08-18,0.00444201292567783
2010-08-19,-0.015428216706886181
2010-08-20,-0.008630457537414735
2010-08-23,0.002061577672804389
2010-08-24,-0.009933788276859331
2010-08-25,0.0024929490247712883
2010-08-26,-0.011686175204171138
2010-08-27,0.0046073881954273
2010-08-30,-0.012192997870344216
2010-08-31,-0.0072171365519396
2010-09-01,0.018155687383826734
2010-09-02,0.0016723168072677848
2010-09-03,0.014513500226299093
2010-09-07,-0.013678599849225799
2010-09-08,-0.0012527701458840716
2010-09-09,0.003337134051055513
2010-09-10,-0.006685970423889973
