Date,GS
2010-01-05,0.017525781611145354
2010-01-06,-0.010730945211110196
2010-01-07,0.019379697446185215
2010-01-08,-0.01909297363684579
2010-01-11,-0.01590218152818875
2010-01-12,-0.02204120222528946
2010-01-13,0.007420810872022395
2010-01-14,-0.0031990238074897244
2010-01-15,-0.01989605376724087
2010-01-19,0.009937253692431354
2010-01-20,0.00555832328265324
2010-01-21,-0.04211666206784713
2010-01-22,-0.042865033153127265
2010-01-25,0.005564846974946722
2010-01-26,-0.02681147195603902
2010-01-27,0.004100484925480934
2010-01-28,0.011745913783261949
2010-01-29,-0.030266277234767654
2010-02-01,0.029221993435851447
2010-02-02,0.024576977892577557
2010-02-03,0.0018454505224715036
2010-02-04,-0.04255137337164522
2010-02-05,0.022832851860818685
2010-02-08,-0.020049406723319802
2010-02-09,0.009157491685594944
2010-02-10,0.0074480287351819646
2010-02-11,0.0027302016532020448
2010-02-12,-0.0007790143981762574
2010-02-16,0.022292134055102036
2010-02-17,-0.0008899005024475673
2010-02-18,-0.009777130541192423
2010-02-19,0.002885444363108878
2010-02-22,0.00338846640542541
2010-02-23,-6.412814114592182e-05
2010-02-24,0.010348909098484628
2010-02-25,-0.012009501974398358
2010-02-26,0.0016641592607139785
2010-03-01,0.001214295158220781
2010-03-02,0.01401942156426975
2010-03-03,-0.0065093578725926625
2010-03-04,0.036664318884599444
2010-03-05,0.02158503459032823
2010-03-08,0.015786287300770918
2010-03-09,-0.005845944527848456
2010-03-10,0.018134613079871045
2010-03-11,0.00908981750378665
2010-03-12,0.008321742955501737
2010-03-15,-0.008206875622762556
2010-03-16,0.015212525910682277
2010-03-17,0.002550782096308818
2010-03-18,0.004575258098682653
2010-03-19,0.0025325786721816174
2010-03-22,-0.009828495875936885
2010-03-23,-0.007578685820189512
2010-03-24,-0.0024051473571441487
2010-03-25,0.0028051922602719105
2010-03-26,-0.011674633516466432
2010-03-29,0.00680280616817641
2010-03-30,-0.015458869828380519
2010-03-31,-0.004386000546385884
2010-04-01,-0.0024055757540669925
2010-04-05,0.017123996697083192
2010-04-06,-0.0015028950691725984
2010-04-07,0.01981431082832941
2010-04-08,0.01764770720466128
2010-04-09,-0.0021185649611180886
2010-04-12,-0.007172800878265922
2010-04-13,0.007897813370291702
2010-04-14,0.0311417787715843
2010-04-15,-0.0035217925532983712
2010-04-16,-0.13686248382802113
2010-04-19,0.016172351505152185
2010-04-20,-0.020662611963506657
2010-04-21,-0.006584744652026042
2010-04-22,0.0007546129692394152
2010-04-23,-0.010428465177847231
2010-04-26,-0.03471201976021655
2010-04-27,0.006620471518995575
2010-04-28,0.025610788134204865
2010-04-29,0.02036308411202089
2010-04-30,-0.0985605858992742
2010-05-03,0.02918437931790212
2010-05-04,-0.0003344483110996584
2010-05-05,-0.008466659206273567
2010-05-06,-0.040417548425842297
2010-05-07,0.0046969096324985605
2010-05-10,0.0058570942547202945
2010-05-11,-0.013016083454563348
2010-05-12,0.03617653731900932
2010-05-13,-0.017475179086486946
2010-05-14,-0.00986524824834079
2010-05-17,-0.004127791305804255
2010-05-18,-0.03771879774002812
2010-05-19,0.019751247058385882
2010-05-20,-0.02896685792004877
2010-05-21,0.03267169693386647
2010-05-24,-0.02834546100495124
2010-05-25,0.04204722797318481
2010-05-26,-0.015979876322342858
2010-05-27,0.035103240337164075
2010-05-28,-0.004771464104403551
2010-06-01,-0.016776536383890067
2010-06-02,0.020719853842473275
2010-06-03,-0.005469626052471851
2010-06-04,-0.012504769212831812
2010-06-07,-0.025416750338007697
2010-06-08,-0.006511363273435268
2010-06-09,-0.007137950568758522
2010-06-10,-0.022397955767118907
2010-06-11,0.01388244895358472
2010-06-14,-0.016352536097822713
2010-06-15,0.025598968518774412
2010-06-16,0.001167810098484115
2010-06-17,0.0018949164044673125
2010-06-18,0.006243619620654968
2010-06-21,-0.0031893637299354343
2010-06-22,-0.021650269929459738
2010-06-23,0.0020756550233912365
2010-06-24,-0.0006668816953107318
2010-06-25,0.034084354258326635
2010-06-28,-0.021714856282880824
2010-06-29,-0.021448862673892323
2010-06-30,-0.018790727034259075
2010-07-01,-0.0009911392934961753
2010-07-02,-0.0004571691697697901
2010-07-06,0.008961773215022392
2010-07-07,0.02663421258362413
2010-07-08,-0.002727280483770809
2010-07-09,0.019011523958371013
2010-07-12,-0.005884490061369794
2010-07-13,0.02162258734304112
2010-07-14,-0.008521202495683874
2010-07-15,0.043344906367371566
2010-07-16,0.006519940997727084
2010-07-19,-0.0033577039009327304
2010-07-20,0.021930173440371757
2010-07-21,-0.012977630473520404
2010-07-22,-0.0029981945316064768
2010-07-23,0.005647687216859493
2010-07-26,0.005548484278983702
2010-07-27,-0.006567022222855089
2010-07-28,-0.0002033374832177427
2010-07-29,0.035896619754171515
2010-07-30,-0.011602357481228264
2010-08-02,0.012650285941197242
2010-08-03,0.0029423531653799506
2010-08-04,0.02080147393513433
2010-08-05,-0.0031374671902734044
2010-08-06,-0.004757612587150906
2010-08-09,0.0014164253894206945
2010-08-10,-0.009699222789175987
2010-08-11,-0.030680254494770354
2010-08-12,0.0011383714230829146
2010-08-13,-0.00900891620461946
2010-08-16,-0.0021626763911114133
2010-08-17,0.005601022450033276
2010-08-18,0.004097280363457248
2010-08-19,-0.014515109149719943
2010-08-20,0.008059854041091987
2010-08-23,-0.010169877037042098
2010-08-24,-0.019196856965402097
2010-08-25,0.005058343415215068
2010-08-26,-0.02003630935113069
2010-08-27,-0.014632718951950556
2010-08-30,-0.01985148036404309
2010-08-31,0.0019737956108050432
2010-09-01,0.020313979533840426
2010-09-02,0.00028575337729345323
2010-09-03,0.05233383554518888
2010-09-07,-0.014222441173230512
2010-09-08,0.01591820774465741
2010-09-09,0.01078632536359937
2010-09-10,0.008346172750847534
2010-09-13,0.026120799505100576
2010-09-14,-0.011991628809517027
2010-09-15,0.0001966672122022742
2010-09-16,-0.0021646081032841175
2010-09-17,-0.008245271553577946
2010-09-20,0.0060751044314561195
2010-09-21,-0.0032972208930598912
2010-09-22,-0.022240164738317653
2010-09-23,-0.02157239462987692
2010-09-24,0.0162225103260865
2010-09-27,-0.008729110186470735
2010-09-28,-0.006803703546406217
2010-09-29,-0.004076389376065995
2010-09-30,0.001106985229618864
2010-10-01,0.02135019945207248
2010-10-04,-0.007680162278345879
2010-10-05,0.02026136479367378
2010-10-06,0.008455102148627663
2010-10-07,0.0017882105375747746
2010-10-08,0.010205333165389456
2010-10-11,-0.0030181490922959737
2010-10-12,0.01958395631876655
2010-10-13,-0.0030974365806063966
2010-10-14,-0.020502182118934172
2010-10-15,-0.005954878390505134
2010-10-18,0.019778005138564383
2010-10-19,0.01945826438958427
2010-10-20,0.018210135744907475
2010-10-21,-0.0018818209085818566
2010-10-22,-0.009714431814222045
2010-10-25,-0.0023479218953833974
2010-10-26,0.0057015294801938884
2010-10-27,0.01168269220358628
2010-10-28,0.019110382960291272
2010-10-29,-0.013010003455144916
2010-11-01,0.002726692268953548
2010-11-02,0.007707417943653269
2010-11-03,-0.0011681122889475016
2010-11-04,0.02285705416133863
2010-11-05,0.027738814054591186
2010-11-08,-0.010991811617276451
2010-11-09,-0.015785869699294637
2010-11-10,0.004014804035215512
2010-11-11,0.002925421833468715
2010-11-12,-0.011272221223773407
2010-11-15,0.008346799390304742
2010-11-16,-0.012759168490454779
2010-11-17,-0.0012729745516483265
2010-11-18,0.01480961664555188
2010-11-19,-0.004072200270529869
2010-11-22,-0.03430078433899867
2010-11-23,-0.02051323865830188
2010-11-24,0.015595972919568898
2010-11-26,-0.012811276723934267
2010-11-29,0.006677489733784557
2010-11-30,-0.017710894476108196
2010-12-01,0.014685927985110123
2010-12-02,0.025239020223481876
2010-12-03,-0.001169887181318083
2010-12-06,0.002092262479953292
2010-12-07,-0.006538223565320501
2010-12-08,0.027768594165406165
2010-12-09,0.0018639513763931428
2010-12-10,0.012062885210615435
2010-12-13,0.005977458850588849
2010-12-14,-0.012767260890921698
2010-12-15,-0.012750617698087899
2010-12-16,-0.004549995829245467
2010-12-17,-0.0025571482137264944
2010-12-20,0.012178897338545122
2010-12-21,0.013043120388173993
2010-12-22,0.008110210955630385
2010-12-23,-0.011862094518337859
2010-12-27,0.013217519815662465
2010-12-28,-0.0037750097960367
2010-12-29,-0.009263738068354664
2010-12-30,6.004387167335903e-05
2010-12-31,0.003096733288345599
2011-01-03,0.028664836461955542
2011-01-04,0.00017343300675974784
2011-01-05,0.005301167227406396
2011-01-06,-0.01034075583753147
2011-01-07,-0.00886576232512599
2011-01-10,-0.00546341848612344
2011-01-11,-0.0023585804227209814
2011-01-12,0.013547528791830177
2011-01-13,-0.0005830949438708388
2011-01-14,0.019794890155251803
2011-01-18,-0.0018300200855085533
2011-01-19,-0.0480203393948452
2011-01-20,-0.0048172945766311575
2011-01-21,0.0030731680346171254
2011-01-24,0.0006018083735637877
2011-01-25,-0.026320221634342576
2011-01-26,-0.004145245619493232
2011-01-27,0.016721285891019077
2011-01-28,-0.013873807875228454
2011-01-31,0.011371282064426365
2011-02-01,0.010397114983096358
2011-02-02,-0.0016953276781552975
2011-02-03,-0.0024872241471359533
2011-02-04,0.0011529741836706037
2011-02-07,0.01385808230179062
2011-02-08,0.008460152743083068
2011-02-09,-0.01518421687583161
2011-02-10,-0.004044291931148451
2011-02-11,0.007951751965444943
2011-02-14,0.0051469539807938265
2011-02-15,0.002325471484920455
2011-02-16,0.005345835613789585
2011-02-17,-0.009822864098700073
2011-02-18,0.005250805762380362
2011-02-22,-0.030819367622284443
2011-02-23,0.000919453311478836
2011-02-24,0.0021441619496387542
2011-02-25,0.010226499022040538
2011-02-28,-0.006026795672249558
2011-03-01,-0.015195897698969977
2011-03-02,0.002353434023831118
2011-03-03,0.017168109726441116
2011-03-04,-0.021445106389137335
2011-03-07,-0.011556871064508279
2011-03-08,0.01341847717149583
2011-03-09,0.0064884028202302725
2011-03-10,-0.012894835077315583
2011-03-11,0.0025549856418006444
2011-03-14,-0.014101787548662438
2011-03-15,-0.007475725204182884
2011-03-16,-0.018420034919777183
2011-03-17,0.008835048381742263
2011-03-18,0.026671895780062918
2011-03-21,0.0015612198326495667
2011-03-22,0.0036138848957415638
2011-03-23,-0.007866825309466564
2011-03-24,0.0023792215990524304
2011-03-25,-0.012206593405706513
2011-03-28,-0.009540388750256814
2011-03-29,0.012700905585180455
2011-03-30,0.0037789010292679625
2011-03-31,-0.002959266320470125
2011-04-01,0.010225539768341054
2011-04-04,-0.008335346584653545
2011-04-05,6.289227677017597e-05
2011-04-06,0.01857889831225222
2011-04-07,0.003145336910623693
2011-04-08,-0.008906324655520808
2011-04-11,0.0031633563311357694
2011-04-12,-0.006523941771445582
2011-04-13,-0.0015597383714487931
2011-04-14,-0.02772673704401546
2011-04-15,-0.004245724349588056
2011-04-18,-0.008740205753719863
2011-04-19,-0.012564122022371355
2011-04-20,0.0055161015971491815
2011-04-21,0.005291075774878895
2011-04-25,-0.008636417690213498
2011-04-26,0.007071161442387229
2011-04-27,-0.002678411880035215
2011-04-28,-0.014895069307830246
2011-04-29,0.0027187505652974393
2011-05-02,0.0019185199954288676
2011-05-03,0.0037602295656928067
2011-05-04,-0.002307112493835117
2011-05-05,-0.007352834878099293
2011-05-06,-0.002063505873342007
2011-05-09,-0.006550084694542871
2011-05-10,0.008546743288883179
2011-05-11,-0.016897074172763718
2011-05-12,-0.0353059651414976
2011-05-13,-0.009077829591409473
2011-05-16,-0.0060982794781869526
2011-05-17,0.0014923593428768096
2011-05-18,0.00021339964399316928
2011-05-19,-0.010707782496146616
2011-05-20,-0.03171612406182226
2011-05-23,0.006276973638591532
2011-05-24,0.0036740158214116437
2011-05-25,-0.0007337978100654647
2011-05-26,0.00014684687281246614
2011-05-27,0.020032054771338965
2011-05-31,0.014818019382644222
2011-06-01,-0.03293861020450635
2011-06-02,-0.013232742127585372
2011-06-03,0.007044611789233485
2011-06-06,-0.01062302447756961
2011-06-07,-0.006819421467365782
2011-06-08,-0.010582530865841865
2011-06-09,0.01463504681269779
2011-06-10,0.017740232860083787
2011-06-13,0.011775626950089671
2011-06-14,-0.0031318267040323627
2011-06-15,-0.016547202585763
2011-06-16,0.009153215632605493
2011-06-17,0.008341953288117725
2011-06-20,-0.015347308974428223
2011-06-21,0.006049665645701175
2011-06-22,-0.010647862736885196
2011-06-23,-0.016187328466318162
2011-06-24,-0.011015430656336965
2011-06-27,-0.0015288260382960146
2011-06-28,-0.011155259813791493
2011-06-29,0.024983074926850864
2011-06-30,0.004216436066123718
2011-07-01,0.026397177540149048
2011-07-05,-0.015858356902101106
2011-07-06,-0.004545747079936512
