Date,SPY
2010-01-05,0.0026432116758221924
2010-01-06,0.0007036900089610975
2010-01-07,0.00421266340595034
2010-01-08,0.00332218155755916
2010-01-11,0.001395616076942829
2010-01-12,-0.009370097429335998
2010-01-13,0.008410804008600352
2010-01-14,0.002700747157412541
2010-01-15,-0.011287370370996154
2010-01-19,0.012418111003593447
2010-01-20,-0.010220669979798256
2010-01-21,-0.019416280863373544
2010-01-22,-0.022543913089785976
2010-01-25,0.005114079272797116
2010-01-26,-0.004199196354474333
2010-01-27,0.0047460748012886226
2010-01-28,-0.011539203463459848
2010-01-29,-0.010927941442191842
2010-02-01,0.015431732049683726
2010-02-02,0.01203032494634233
2010-02-03,-0.004994912090374474
2010-02-04,-0.03135236217384505
2010-02-05,0.0020646988713490457
2010-02-08,-0.007245462062702492
2010-02-09,0.012482058384028123
2010-02-10,-0.0019603927328409295
2010-02-11,0.010411829761697577
2010-02-12,-0.0008328163209816657
2010-02-16,0.015612433394094155
2010-02-17,0.004727521837008676
2010-02-18,0.00587771016127235
2010-02-19,0.0020716041397302993
2010-02-22,0.0001798652479300697
2010-02-23,-0.012218824621256296
2010-02-24,0.009155238711976292
2010-02-25,-0.0013543823218447296
2010-02-26,0.0006324264096556468
2010-03-01,0.010331125274150692
2010-03-02,0.002766642381069594
2010-03-03,0.0008914191447643769
2010-03-04,0.0030227283516064576
2010-03-05,0.01419221193357494
2010-03-08,0.00017470257776129556
2010-03-09,0.001661574456742001
2010-03-10,0.004445807243772788
2010-03-11,0.0041659737520697675
2010-03-12,8.657931262754295e-05
2010-03-15,0.0002599571208677475
2010-03-16,0.007934577345407328
2010-03-17,0.005909823285790541
2010-03-18,-0.0005123963500829643
2010-03-19,-0.005074618527728092
2010-03-22,0.0053317615674793135
2010-03-23,0.007009074168205127
2010-03-24,-0.004867193994040068
2010-03-25,-0.0016272714764291414
2010-03-26,-0.0006000840471402339
2010-03-29,0.00632710500274692
2010-03-30,0.0006819623642123594
2010-03-31,-0.003412914055935622
2010-04-01,0.006814133767413403
2010-04-05,0.00811659958055005
2010-04-06,0.0023548041662692087
2010-04-07,-0.005728568402654311
2010-04-08,0.003457926440280375
2010-04-09,0.006545719437726263
2010-04-12,0.001588167367885405
2010-04-13,0.0007515171145022782
2010-04-14,0.011285395926408294
2010-04-15,0.0008246082534156918
2010-04-16,-0.01604004293572623
2010-04-19,0.003762942875567927
2010-04-20,0.008891139132141668
2010-04-21,-0.0018216682538374977
2010-04-22,0.0029789047925845406
2010-04-23,0.006506641551570039
2010-04-26,-0.0037831612765020194
2010-04-27,-0.02393468854959455
2010-04-28,0.007567361018036825
2010-04-29,0.01232130153956061
2010-04-30,-0.017107304277754132
2010-05-03,0.012878326941439722
2010-05-04,-0.023795285261297185
2010-05-05,-0.0059742476204372235
2010-05-06,-0.03377807326967119
2010-05-07,-0.014986608573316521
2010-05-10,0.04309878570322031
2010-05-11,-0.0028450758277780356
2010-05-12,0.013889062113728978
2010-05-13,-0.012508599336447828
2010-05-14,-0.01827083851287089
2010-05-17,0.0005264497090102387
2010-05-18,-0.013695234859018215
2010-05-19,-0.005710647468027222
2010-05-20,-0.038490797037672525
2010-05-21,0.014493361630340054
2010-05-24,-0.012913662891743364
2010-05-25,0.0010207525058923072
2010-05-26,-0.00604711952930633
2010-05-27,0.032949374881763534
2010-05-28,-0.012628937653163651
2010-06-01,-0.01696662611764981
2010-06-02,0.025705648433798287
2010-06-03,0.0034384975244288853
2010-06-04,-0.035769096916245774
2010-06-07,-0.01252874748429552
2010-06-08,0.01065466851306983
2010-06-09,-0.005360317182520705
2010-06-10,0.02881230845939646
2010-06-11,0.004843821231138872
2010-06-14,-0.0015508414108805543
2010-06-15,0.022482272040156025
2010-06-16,-0.0003566851507301228
2010-06-17,0.0016066108754784498
2010-06-18,0.0010832936649548999
2010-06-21,-0.0028677520183266123
2010-06-22,-0.016653587805886456
2010-06-23,-0.0031074243261556877
2010-06-24,-0.016710265344301405
2010-06-25,0.004180948420370973
2010-06-28,-0.003157035972861694
2010-06-29,-0.03136202938752468
2010-06-30,-0.009545380033808842
2010-07-01,-0.004466320145567958
2010-07-02,-0.0054646092181983305
2010-07-06,0.0065342433168369286
2010-07-07,0.031010402037431307
2010-07-08,0.009846500268397373
2010-07-09,0.007437727756449616
2010-07-12,0.0006483669141897635
2010-07-13,0.014975815460951064
2010-07-14,-9.11822533494705e-05
2010-07-15,0.0002736137178697682
2010-07-16,-0.02792071047640483
2010-07-19,0.00588907207689307
2010-07-20,0.011030315313091326
2010-07-21,-0.013082836328474621
2010-07-22,0.022076225065730266
2010-07-23,0.008641588778511131
2010-07-26,0.010361664273785008
2010-07-27,-8.953889777633508e-05
2010-07-28,-0.006475509756526892
2010-07-29,-0.004884459623811296
2010-07-30,-0.00018142244292899167
2010-08-02,0.02233023358864813
2010-08-03,-0.004800385901049544
2010-08-04,0.006661021853539086
2010-08-05,-0.0010631793721683899
2010-08-06,-0.004084500065042172
2010-08-09,0.005324320133098823
2010-08-10,-0.005413287458382716
2010-08-11,-0.02778931370540569
2010-08-12,-0.006149119300748555
2010-08-13,-0.002949617955787232
2010-08-16,-0.000461958585060863
2010-08-17,0.012210332936790467
2010-08-18,0.001823431315474191
2010-08-19,-0.017549977989810773
2010-08-20,-0.0032495359098594304
2010-08-23,-0.00382020163433341
2010-08-24,-0.014954595852227866
2010-08-25,0.003877553923647682
2010-08-26,-0.006724185790710934
2010-08-27,0.0153709644327201
2010-08-30,-0.01461121668220436
2010-08-31,0.0
2010-09-01,0.029473150162219297
2010-09-02,0.009269362266763295
2010-09-03,0.012887916400040828
2010-09-07,-0.011336770799156628
2010-09-08,0.006998826436265367
2010-09-09,0.004608589754738025
2010-09-10,0.005035634626056716
2010-09-13,0.011061815322542789
2010-09-14,-0.0006213815648545104
2010-09-15,0.0038103112272789503
2010-09-16,-0.000265474948987854
2010-09-17,0.00037349897748722863
2010-09-20,0.015174209049525392
2010-09-21,-0.0020153037167508128
2010-09-22,-0.004925844252030091
2010-09-23,-0.00814438670950923
2010-09-24,0.020412664005750952
2010-09-27,-0.004801718063911738
2010-09-28,0.003494101751957046
2010-09-29,-0.0017453934098439418
2010-09-30,-0.002974424189928655
2010-10-01,0.0041967643051942175
2010-10-04,-0.007532370720087392
2010-10-05,0.019932134987519726
2010-10-06,-8.579627916390086e-05
2010-10-07,-0.001207544536871571
2010-10-08,0.0055933247635637515
2010-10-11,0.0009430956694248354
2010-10-12,0.0030815528247912444
2010-10-13,0.007747274916686319
2010-10-14,-0.0039089385051221245
2010-10-15,0.002041178370750586
2010-10-18,0.00491549582777698
2010-10-19,-0.013191038697465407
2010-10-20,0.009718623416465415
2010-10-21,0.0022036681962149954
2010-10-22,0.0018602052098032635
2010-10-25,0.002953237094972099
2010-10-26,0.00016865492166293005
2010-10-27,-0.00286796048090417
2010-10-28,0.00016902607402924296
2010-10-29,0.0007597563152639932
2010-11-01,0.0003373715019238744
2010-11-02,0.007899164814806469
2010-11-03,0.004009723566458117
2010-11-04,0.01907515975871765
2010-11-05,0.003755104816354135
2010-11-08,-0.0018759125795670577
2010-11-09,-0.007210049655648975
2010-11-10,0.004020839774597557
2010-11-11,-0.0037743740018402147
2010-11-12,-0.01190892578840228
2010-11-15,-0.0014150040423686532
2010-11-16,-0.015702291797751428
2010-11-17,0.00050776678123053
2010-11-18,0.014610930034079978
2010-11-19,0.00274723257848676
2010-11-22,-0.0008315438139613734
2010-11-23,-0.014583100504557515
2010-11-24,0.01466601076484153
2010-11-26,-0.011715517021591697
2010-11-29,0.003025784400380769
2010-11-30,-0.005638369586187841
2010-12-01,0.021044470364897226
2010-12-02,0.012727358689505941
2010-12-03,0.0026890308719561638
2010-12-06,-0.0010584274171890617
2010-12-07,0.0005702060636177803
2010-12-08,0.0036567985480026547
2010-12-09,0.003885718451318204
2010-12-10,0.0058012186493140196
2010-12-13,0.0006423374152359761
2010-12-14,0.0008829629800422658
2010-12-15,-0.004582575459015828
2010-12-16,0.005784805906188182
2010-12-17,0.0010707357678621126
2010-12-20,0.002410374668313373
2010-12-21,0.006320031045167443
2010-12-22,0.003105534847804788
2010-12-23,-0.0014317345513743418
2010-12-27,0.0003979714385566884
2010-12-28,0.0014316408340486338
2010-12-29,0.0007148149459033634
2010-12-30,-0.0015895775780223216
2010-12-31,0.00023835191936754914
2011-01-03,0.01028556244343944
2011-01-04,-0.000551596571944619
2011-01-05,0.005184286257706586
2011-01-06,-0.0019603645179631867
2011-01-07,-0.0019645288643027853
2011-01-10,-0.0012593928754406505
2011-01-11,0.0035377288602138866
2011-01-12,0.008984382630298654
2011-01-13,-0.001634975765446004
2011-01-14,0.0072187355266760825
2011-01-18,0.0016999977699069288
2011-01-19,-0.009853862374794901
2011-01-20,-0.0013265828552046592
2011-01-21,0.002261711933416639
2011-01-24,0.0056705885588210535
2011-01-25,0.0005421549959273822
2011-01-26,0.0038634068979397406
2011-01-27,0.002464662813354489
2011-01-28,-0.017616985078000955
2011-01-31,0.007488185804648886
2011-02-01,0.015882254043685973
2011-02-02,-0.001914219012640138
2011-02-03,0.0022197577550945903
2011-02-04,0.0028252765622957428
2011-02-07,0.006232981722142386
2011-02-08,0.004536272315837423
2011-02-09,-0.0022654508399549164
2011-02-10,0.0003779819742928173
2011-02-11,0.005952167046383885
2011-02-14,0.0024013437026548915
2011-02-15,-0.003152661861335448
2011-02-16,0.006295788222067182
2011-02-17,0.00298330271582753
2011-02-18,0.002083896306742143
2011-02-22,-0.02027406809351773
2011-02-23,-0.006163347707668688
2011-02-24,-0.0006871333265558109
2011-02-25,0.010635553667898145
2011-02-28,0.0061777256149757155
2011-03-01,-0.01681327928287374
2011-03-02,0.002136224790918085
2011-03-03,0.017077752527839874
2011-03-04,-0.007520400724601088
2011-03-07,-0.007882003719771432
2011-03-08,0.008712436887470629
2011-03-09,-0.001434557770991402
2011-03-10,-0.018679552775952027
2011-03-11,0.006902342534329336
2011-03-14,-0.006055670317346516
2011-03-15,-0.011523665733395819
2011-03-16,-0.018686351460465992
2011-03-17,0.013148447491468098
2011-03-18,0.00363067755807572
2011-03-21,0.01537875195950544
2011-03-22,-0.0034743217734542905
2011-03-23,0.0028576227153280787
2011-03-24,0.009518141639524476
2011-03-25,0.003051174661323396
2011-03-28,-0.0024405432402277265
2011-03-29,0.00669629142814486
2011-03-30,0.006877418322012454
