Date,XOM
2010-01-05,0.0038966078623277195
2010-01-06,0.008605883288089776
2010-01-07,-0.0031465496590217753
2010-01-08,-0.004019833155276465
2010-01-11,0.011157369064194473
2010-01-12,-0.004991401904439194
2010-01-13,-0.004010896154459494
2010-01-14,0.00014386856353840535
2010-01-15,-0.008214146341656351
2010-01-19,0.002312967594662614
2010-01-20,-0.018063356382819536
2010-01-21,-0.01974426502268828
2010-01-22,-0.00903576151791233
2010-01-25,-0.0037893971782027077
2010-01-26,0.0010622455104916247
2010-01-27,-0.005781385304779339
2010-01-28,-0.008888617958141814
2010-01-29,-0.008192743021378167
2010-02-01,0.02679918200829276
2010-02-02,0.011717283992188231
2010-02-03,-0.005391003118453363
2010-02-04,-0.028633960090796197
2010-02-05,0.0012351613235914273
2010-02-08,-0.00046602354386697243
2010-02-09,0.013122262331926433
2010-02-10,-0.005382377316378538
2010-02-11,0.005995845541547093
2010-02-12,-0.006767326546626145
2010-02-16,0.022582510263984445
2010-02-17,-0.007876380133063772
2010-02-18,0.003037007373588156
2010-02-19,-0.0013651948489444782
2010-02-22,-0.007161245152208233
2010-02-23,-0.007058241816267655
2010-02-24,0.00934928372520056
2010-02-25,-0.006274201622233752
2010-02-26,-0.0021517141736711234
2010-03-01,0.00613487388697186
2010-03-02,0.0013754250621582373
2010-03-03,-0.000916881730323406
2010-03-04,-0.0004585433318347739
2010-03-05,0.016228583942407303
2010-03-08,0.00015055014477106647
2010-03-09,0.004502451307574596
2010-03-10,0.0065670229864046295
2010-03-11,0.0
2010-03-12,-0.006267864096133271
2010-03-15,-0.007512675745313965
2010-03-16,0.004063428619816528
2010-03-17,0.011797526982751546
2010-03-18,0.00044530727195541916
2010-03-19,-0.005207007835504698
2010-03-22,-0.0010450998117210006
2010-03-23,-0.00029850345981222913
2010-03-24,-0.0067440775473895966
2010-03-25,-0.0030115742200958755
2010-03-26,0.0036130534373354194
2010-03-29,0.011357002731855248
2010-03-30,-0.003721530925635037
2010-03-31,-0.0010445278312015305
2010-04-01,0.009361601037630878
2010-04-05,0.008542346735813557
2010-04-06,-0.004262359639491939
2010-04-07,-0.008281404819942367
2010-04-08,0.007691976318173605
2010-04-09,0.013175839196059963
2010-04-12,-0.0007269870306030699
2010-04-13,-0.0007284288212480625
2010-04-14,-0.0007283507753946097
2010-04-15,-0.005114383872582683
2010-04-16,-0.004846391073744892
2010-04-19,0.004406556640334098
2010-04-20,0.01078738983208806
2010-04-21,-0.0007248737773401103
2010-04-22,-0.005237280986549717
2010-04-23,0.009869591929091497
2010-04-26,0.0007216254208654182
2010-04-27,-0.014830525544084643
2010-04-28,0.013385646367584025
2010-04-29,-0.007689004160266242
2010-04-30,-0.01304747237213859
2010-05-03,0.0010325637476276846
2010-05-04,-0.020401156361538674
2010-05-05,-0.004523497601093231
2010-05-06,-0.035064556627137665
2010-05-07,-0.002978329580707628
2010-05-10,0.023735123823733092
2010-05-11,-0.005106530356864839
2010-05-12,0.006957110723212778
2010-05-13,-0.002622480424236478
2010-05-14,-0.017765709304950732
2010-05-17,-0.005201887711730014
2010-05-18,-0.007615988288126969
2010-05-19,-0.005429549091761813
2010-05-20,-0.03453672408792827
2010-05-21,0.009075272045889994
2010-05-24,-0.011398332650852412
2010-05-25,-0.008007158884220577
2010-05-26,-0.006721571328175014
2010-05-27,0.03560863132612338
2010-05-28,-0.016404362688433826
2010-06-01,-0.020216324888347917
2010-06-02,0.025330527763163045
2010-06-03,0.012916330218756336
2010-06-04,-0.0335323187478007
2010-06-07,-0.003870912935602934
2010-06-08,0.03219139317053939
2010-06-09,-0.019956245295998192
2010-06-10,0.03051419608240083
2010-06-11,-0.000484749571389809
2010-06-14,-0.007952561881735
2010-06-15,0.01840502395618777
2010-06-16,0.0
2010-06-17,0.0014389937203140143
2010-06-18,0.007955446084623603
2010-06-21,0.0004753354741870089
