Date,JPM
2010-01-05,0.019185126437913223
2010-01-06,0.00547920892537978
2010-01-07,0.019615262326882942
2010-01-08,-0.0024587542319101244
2010-01-11,-0.0033630595091401943
2010-01-12,-0.023631566913072485
2010-01-13,0.01732408312917322
2010-01-14,0.009894474312925543
2010-01-15,-0.0228596480402388
2010-01-19,-0.009199594687760153
2010-01-20,0.00276851069413992
2010-01-21,-0.06816978179068194
2010-01-22,-0.03463339946884763
2010-01-25,0.0012754158910164286
2010-01-26,-0.019833036068513128
2010-01-27,0.022889358359776468
2010-01-28,0.003806712730607415
2010-01-29,-0.013772463191191565
2010-02-01,0.017564884908543753
2010-02-02,0.022948897657294826
2010-02-03,-0.006431945742418417
2010-02-04,-0.04934926919336906
2010-02-05,-0.0013044106092226409
2010-02-08,-0.015789849526024427
2010-02-09,0.01813643011615472
2010-02-10,0.012426415688771106
2010-02-11,0.0038513802371367496
2010-02-12,-0.0017957455616970251
2010-02-16,0.02834920006634865
2010-02-17,-0.0007493029385675708
2010-02-18,0.009198527766875204
2010-02-19,-0.009448108965534899
2010-02-22,0.020277743360961435
2010-02-23,-0.024031983807989765
2010-02-24,0.024031983807989876
2010-02-25,-0.005153978164856605
2010-02-26,0.03220221099291578
2010-03-01,-0.003341289057939019
2010-03-02,-0.005032994746070245
2010-03-03,-0.002164548892755446
2010-03-04,0.00934686006670044
2010-03-05,0.02100873316251955
2010-03-08,-0.0051521444377584024
2010-03-09,-0.0039996419253609675
2010-03-10,0.011950582149209577
2010-03-11,0.0058068961242146435
2010-03-12,-0.0006951830081380331
2010-03-15,-0.0018553641435201022
2010-03-16,0.0039390660171350015
2010-03-17,0.01263926564701068
2010-03-18,-0.003431133963261758
2010-03-19,-0.004363574901659367
2010-03-22,0.006652107905562966
2010-03-23,0.01902275394274944
2010-03-24,0.00804291262073712
2010-03-25,0.0
2010-03-26,0.0017781016833169092
2010-03-29,-0.003560139808374679
2010-03-30,-0.006260874495679403
2010-03-31,0.0038061543242199577
2010-04-01,0.010680461934111568
2010-04-05,0.0035354609005811425
2010-04-06,0.010967494212379336
2010-04-07,-0.011408680487864952
2010-04-08,0.009661480080114157
2010-04-09,0.004796365967615465
2010-04-12,0.003473991965419612
2010-04-13,-0.0058689236175004066
2010-04-14,0.03974856541317365
2010-04-15,0.0016749665321225842
2010-04-16,-0.04842423425156
2010-04-19,-0.0035188793089525167
2010-04-20,0.010737334962516243
2010-04-21,-0.011618866299893223
2010-04-22,-0.0135423864206792
2010-04-23,0.00446053008524547
2010-04-26,-0.023642070076343422
2010-04-27,-0.03430188998297465
2010-04-28,0.02445663580708368
2010-04-29,0.012348550285357553
2010-04-30,-0.0328044101110556
2010-05-03,0.02206519087048797
2010-05-04,-0.024652211243588403
2010-05-05,0.0037600255361505226
2010-05-06,-0.043631115797863024
2010-05-07,-0.0012257724706722295
2010-05-10,0.028777100458619163
2010-05-11,-0.009580970603518838
2010-05-12,0.0033636673584843614
2010-05-13,-0.0213340247429126
2010-05-14,-0.02280138104555285
2010-05-17,-0.0012541326794352637
2010-05-18,-0.020797119914174295
2010-05-19,0.009183486463387723
2010-05-20,-0.04015570056031082
2010-05-21,0.05702626904913058
2010-05-24,-0.03635810083436124
2010-05-25,0.008251595059009898
2010-05-26,-0.004116990197585564
2010-05-27,0.041419598980919736
2010-05-28,-0.02100055528679209
2010-06-01,-0.026627751938892007
2010-06-02,0.025868782479126953
2010-06-03,-0.011443047433124975
2010-06-04,-0.038586243731267025
2010-06-07,-0.0242143303509388
2010-06-08,0.02845830331890425
2010-06-09,-0.017623739478355466
2010-06-10,0.03103259800264519
2010-06-11,-0.005236489972285753
2010-06-14,-0.02015512789068879
2010-06-15,0.0243466914525394
2010-06-16,0.007033852267026144
2010-06-17,-0.002079045501931349
2010-06-18,0.019067959924901103
2010-06-21,-0.007943368652324527
2010-06-22,-0.013990411149628578
2010-06-23,0.014504566310226353
2010-06-24,-0.022361946902754202
2010-06-25,0.036405011669294184
2010-06-28,-0.023084014361364303
2010-06-29,-0.039158266455235735
2010-06-30,-0.012216753397576986
2010-07-01,-0.013215804028582974
2010-07-02,-0.006953402657270924
2010-07-06,0.013858868139364633
2010-07-07,0.048881354790989553
2010-07-08,0.00026235644498291325
2010-07-09,0.017919830558851386
2010-07-12,0.008713613051120842
2010-07-13,0.032386787225630535
2010-07-14,-0.003216436028027677
2010-07-15,0.0027219508528788894
2010-07-16,-0.03675165378115971
2010-07-19,0.0010249855812380763
2010-07-20,0.014999353317633682
2010-07-21,-0.03100845299282735
2010-07-22,0.023917680183849627
2010-07-23,0.012124920762335
2010-07-26,0.012474995225909643
2010-07-27,0.00888662312391326
2010-07-28,-0.009134434662657835
2010-07-29,-0.0027319136987816258
2010-07-30,0.0017393409024078754
2010-08-02,0.033205767391367665
2010-08-03,-0.013539467862012568
2010-08-04,0.005099145683357496
2010-08-05,-0.0004846432965667931
2010-08-06,-0.02031655013251094
2010-08-09,-0.015450361658664726
2010-08-10,-0.016458182734863533
2010-08-11,-0.0363955924204333
2010-08-12,0.0010582715550723238
2010-08-13,-0.008232788722779183
2010-08-16,0.00505430389912707
2010-08-17,-0.00558732956373112
2010-08-18,0.010879533492689802
2010-08-19,-0.021879275970893917
2010-08-20,0.0018863779930992947
2010-08-23,-0.007025356965748565
2010-08-24,-0.018333566972306196
2010-08-25,0.0005519530050397221
2010-08-26,-0.01669957374990156
2010-08-27,0.026860365770969487
2010-08-30,-0.020704432356673682
2010-08-31,0.014125505744544043
2010-09-01,0.037251364565607493
2010-09-02,0.011067343683896884
2010-09-03,0.026122897012421525
2010-09-07,-0.02298349839830087
2010-09-08,0.021706210318955508
2010-09-09,0.024742842285822384
2010-09-10,-0.008515170237054401
2010-09-13,0.03363325156887129
2010-09-14,-0.009775277271894936
2010-09-15,0.006364740076078168
2010-09-16,0.0002444507573543026
2010-09-17,-0.022950159164219698
2010-09-20,0.027817057731420704
2010-09-21,-0.014673326746984546
2010-09-22,-0.016143856677258685
2010-09-23,-0.021256086099632598
2010-09-24,0.01648769687949009
2010-09-27,-0.01699897869642121
2010-09-28,-0.0033325171958730865
2010-09-29,-0.013960580511926179
2010-09-30,-0.009153800336603568
2010-10-01,0.019513712006850883
2010-10-04,0.004890294613932901
2010-10-05,0.01756003143194914
2010-10-06,0.006538017448179862
2010-10-07,-0.009569835525354916
2010-10-08,-0.0053283197988018526
2010-10-11,0.010628254812830229
2010-10-12,0.016723151178035772
2010-10-13,-0.013958527519732044
2010-10-14,-0.02851531411122477
2010-10-15,-0.04139247678686918
2010-10-18,0.02787193620932733
2010-10-19,-0.013440719793649178
2010-10-20,0.010819063937702286
2010-10-21,-0.010554000014556988
2010-10-22,0.0
2010-10-25,-0.016851609299940982
2010-10-26,0.0035001121079385835
2010-10-27,0.009098281161194197
2010-10-28,-0.0007989469532166496
2010-10-29,0.0031936397779881187
2010-11-01,-0.00559661423526071
2010-11-02,-0.01236821671968023
2010-11-03,0.02035395480840746
2010-11-04,0.053676371636896085
2010-11-05,0.02824053324227296
2010-11-08,-0.010559125288339789
2010-11-09,-0.015171592825965773
2010-11-10,0.01788362344356963
2010-11-11,-0.014881067135121585
2010-11-12,-0.010297829686858617
2010-11-15,0.011795983988977889
2010-11-16,-0.011795983988977925
2010-11-17,-0.010915615293899837
2010-11-18,0.012177582730382169
2010-11-19,-0.006324078881619774
2010-11-22,-0.02310139519785611
2010-11-23,-0.023116530596926
2010-11-24,0.013986116158057992
2010-11-26,-0.01744669729038696
2010-11-29,0.010874265432087258
2010-11-30,-0.013544312004174705
2010-12-01,0.019855100791304203
2010-12-02,0.02995268220728539
2010-12-03,0.007602881945746298
2010-12-06,0.007295273378410545
2010-12-07,-0.016425751249363064
2010-12-08,0.025407789467064894
2010-12-09,0.013568613177364847
2010-12-10,0.015077954426717853
