Date,AAPL
2010-01-05,0.0017273479576787611
2010-01-06,-0.01603396733765258
2010-01-07,-0.0018506607569567742
2010-01-08,0.0066264715559452595
2010-01-11,-0.008860793032075527
2010-01-12,-0.011440233956020625
2010-01-13,0.01400739990403071
2010-01-14,-0.005808424038458204
2010-01-15,-0.016853445099005996
2010-01-19,0.043287983392202856
2010-01-20,-0.015512371140788633
2010-01-21,-0.01743751915393624
2010-01-22,-0.05087091360272109
2010-01-25,0.02654755704263954
2010-01-26,0.014033793898421831
2010-01-27,0.009375839981884801
2010-01-28,-0.0421999816160245
2010-01-29,-0.03695296253794425
2010-02-01,0.01380610187193541
2010-02-02,0.005786721621276324
2010-02-03,0.017059281919127724
2010-02-04,-0.03670389459821376
2010-02-05,0.017599744694414263
2010-02-08,-0.006879349608436638
2010-02-09,0.010607497305086594
2010-02-10,-0.005469346789708295
2010-02-11,0.018030465782768793
2010-02-12,0.00857046966937521
2010-02-16,0.014959181994565017
2010-02-17,-0.004187443821355122
2010-02-18,0.0018739254288128475
2010-02-19,-0.006228425984471047
2010-02-22,-0.006217754240716483
2010-02-23,-0.01690673658532999
2010-02-24,0.018103674304360867
2010-02-25,0.006655878627334609
2010-02-26,0.012886756202289453
2010-03-01,0.02113183674532905
2010-03-02,-0.0006697947618616231
2010-03-03,0.00229530154027999
2010-03-04,0.0065706739295895225
2010-03-05,0.03836108105221881
2010-03-08,0.0005934352806003072
2010-03-09,0.017824514402330148
2010-03-10,0.008127562691709446
2010-03-11,0.0029309508675762785
2010-03-12,0.0048662129470945035
2010-03-15,-0.012254692321504402
2010-03-16,0.002721556490509821
2010-03-17,-0.0014716829333445327
2010-03-18,0.0023623250528702704
2010-03-19,-0.010740706171394405
2010-03-22,0.011185836154041182
2010-03-23,0.01593448060233155
2010-03-24,0.004412787235464291
2010-03-25,-0.011929264687735317
2010-03-26,0.018577729561941987
2010-03-29,0.006432203832593943
2010-03-30,0.014779358432708768
2010-03-31,-0.0036106688700056405
2010-04-01,0.00411910552597157
2010-04-05,0.010622490422288033
2010-04-06,0.00439331517315403
2010-04-07,0.004415240639619241
2010-04-08,-0.0027050342413380895
2010-04-09,0.0076389435391046485
2010-04-12,0.002065611491094155
2010-04-13,0.000577444637766531
2010-04-14,0.013358057275874535
2010-04-15,0.01306088747104723
2010-04-16,-0.006124893306851817
2010-04-19,-0.0013348781226729023
2010-04-20,-0.0100881807101836
2010-04-21,0.058093521098023695
2010-04-22,0.027584359405822205
2010-04-23,0.016229757639589983
2010-04-26,-0.00492285791301205
2010-04-27,-0.028071477444630035
2010-04-28,-0.0016802240450178223
2010-04-29,0.026555492766931928
2010-04-30,-0.028506884350501797
2010-05-03,0.019946204104918017
2010-05-04,-0.02921940986622757
2010-05-05,-0.010453424683826255
2010-05-06,-0.03879094890328065
2010-05-07,-0.043109579598509286
2010-05-10,0.0740566672009099
2010-05-11,0.009911952524594888
2010-05-12,0.02148150291226104
2010-05-13,-0.014334179524877345
2010-05-14,-0.017728674392833058
2010-05-17,0.001574567232488147
2010-05-18,-0.007343597732392501
2010-05-19,-0.01605757027774425
2010-05-20,-0.04353699572994078
2010-05-21,0.01899756011638556
2010-05-24,0.0181568927536398
2010-05-25,-0.006260829889635195
2010-05-26,-0.004536561085419142
2010-05-27,0.03715294770039613
2010-05-28,0.013837333875368417
2010-06-01,0.015259737504828896
2010-06-02,0.011890994903376848
2010-06-03,-0.0031493258897854273
2010-06-04,-0.027589334508696016
2010-06-07,-0.019807210813743318
2010-06-08,-0.006436255943798341
2010-06-09,-0.024893637750741132
2010-06-10,0.029614670249172886
2010-06-11,0.011904434510038354
2010-06-14,0.003032910288261406
2010-06-15,0.02105270641664657
2010-06-16,0.02869554043619771
2010-06-17,0.017139882576944793
2010-06-18,0.00805968887449812
2010-06-21,-0.014332492291157326
2010-06-22,0.013528998607390912
2010-06-23,-0.010572368679644905
2010-06-24,-0.0072964472811683926
2010-06-25,-0.008587479993969634
2010-06-28,0.005981614478177981
2010-06-29,-0.046264372724372595
2010-06-30,-0.018278537727590576
2010-07-01,-0.01220061802530361
2010-07-02,-0.006216649021753889
2010-07-06,0.0068198462284438
2010-07-07,0.0395870844474491
2010-07-08,-0.00224399047206314
2010-07-09,0.005910748214417984
2010-07-12,-0.009015466868726833
2010-07-13,-0.021569047304093873
2010-07-14,0.00368658023263161
2010-07-15,-0.005077416742453962
2010-07-16,-0.006183305883858291
2010-07-19,-0.017437773762417428
2010-07-20,0.025369574109496716
2010-07-21,0.009286162508397155
2010-07-22,0.0186265925560184
2010-07-23,0.0035457390424550573
2010-07-26,-0.0025426807792610887
2010-07-27,0.01834356437472881
2010-07-28,-0.011884929015698363
2010-07-29,-0.010981328547686131
2010-07-30,-0.00333736541784725
2010-08-02,0.017723746701941916
2010-08-03,0.00030571728936299055
2010-08-04,0.004000276498146455
2010-08-05,-0.004878606786235181
2010-08-06,-0.006171660400691667
2010-08-09,0.006362588100721693
2010-08-10,-0.008980543971853862
2010-08-11,-0.036189008911268236
2010-08-12,0.0063748929509025816
2010-08-13,-0.010741335477424356
2010-08-16,-0.00587802391492027
2010-08-17,0.017334196487130256
2010-08-18,0.00435567586375514
2010-08-19,-0.012685202877525802
2010-08-20,-0.000960739181619202
2010-08-23,-0.015502196387481154
2010-08-24,-0.02417065237712966
2010-08-25,0.012261092907844185
2010-08-26,-0.010803658344681746
2010-08-27,0.005561232746865506
2010-08-30,0.0036355629237149905
2010-08-31,0.002470962675821197
2010-09-01,0.029307344633164176
2010-09-02,0.007323540793107546
2010-09-03,0.02583653985575452
2010-09-07,-0.0037169099647835616
2010-09-08,0.019626862680613973
2010-09-09,0.0005695940016297947
2010-09-10,0.00129222803232618
2010-09-13,0.013687050414443357
2010-09-14,0.0038123916813578382
2010-09-15,0.008025375223473376
2010-09-16,0.023227347298022973
2010-09-17,-0.004348168656420778
2010-09-20,0.028143489584421134
2010-09-21,0.001904540079953294
2010-09-22,0.013928488992702713
2010-09-23,0.004057715141210664
2010-09-24,0.011699055159480696
2010-09-27,-0.003975771847431902
2010-09-28,-0.014878814021672857
2010-09-29,0.0017759121207975613
2010-09-30,-0.012676577502770132
2010-10-01,-0.004344477845591356
2010-10-04,-0.013828520836641559
2010-10-05,0.03629848510591185
2010-10-06,0.0008648988439657506
2010-10-07,0.00010378162989716103
2010-10-08,0.016630112614829422
