date,actual_return,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S,BB_1,BB_5,BB_10,BB_15,BB_20,BB_30,BB_35,BB_40
2018-02-05,-0.1661929094526967,1.1943833147522465,1.5394364961076772,1.1816318445102314,1.5575599609725228,1.200899112349068,1.5449679493690296,1.205133571977299,1.5450693314812158,0.7636978286205091,1.102221260558788,1.0517528620772398,0.9170609027931292,1.0415437735023236,0.8979300328435182,0.9507650775110164,0.9414276750514958
2018-02-06,0.4716165946721266,1.1225222419781078,1.393135690097122,1.1109793908015777,1.406800209362771,1.12636245599173,1.3951670482324203,1.1387275050206211,1.3998287378134049,0.8549369558414202,0.9710364733325344,0.9669899387492344,0.9507650775110164,0.9759213669343728,0.9681820959406277,0.9507650775110164,0.9414276750514958
2018-02-07,0.4997511650471616,1.070725342909592,1.2977134096146494,1.044089298414964,1.2844073479685674,1.0730451927445068,1.2984059847930134,1.104036886143238,1.3216698032071053,1.0857944353945883,1.881699000646467,1.1607288643359437,1.124136559109756,1.1607288643359437,1.2438690892565374,1.1859248712304091,1.2169949599945509
2018-02-08,0.2208318895228497,1.0827402907651589,1.3231050116868572,1.078485024595976,1.346810353733631,1.0858563517134414,1.324539944845754,1.0993544807569249,1.323916258324341,0.8515731419917476,0.8466671190995219,0.9669899387492344,0.9162164115282396,1.0415437735023236,1.0517528620772398,1.0517528620772398,0.9507650775110164
2018-02-09,-0.2208318895228543,1.0952387852969878,1.3492380191522868,1.1100043176662806,1.4007320942409125,1.0988186947559389,1.350950876087868,1.0993966563287816,1.3351391819702654,0.8515731419917476,0.9326273587788196,0.9759213669343728,1.0415437735023236,0.9669899387492344,1.0415437735023236,0.9759213669343728,0.9507650775110164
2018-02-12,-0.2169763045310269,1.0571068654968407,1.2790297567908218,1.0487865868751152,1.2951717018425957,1.059655115045144,1.2799554596283838,1.084665373175297,1.2904895559459124,1.1106478968893536,1.0517528620772398,1.0415437735023236,0.9170609027931292,0.9405892171464122,1.0415437735023236,0.9414276750514958,0.9507650775110164
2018-02-13,-0.431007001709907,1.0336754484064834,1.2410067459604244,1.0158672246272047,1.2385895435048897,1.0350753194274656,1.2413043506935548,1.077428534456797,1.26810602642556,0.9841430071380776,1.1345421381242358,1.0517528620772398,0.9669899387492344,1.0517528620772398,0.9669899387492344,0.9681820959406277,0.9507650775110164
2018-02-14,1.0459937819036231,1.0179301821358873,1.220822099534745,0.9903431658765492,1.2014303623389584,1.0187156527529988,1.2209143410027616,1.0728222748735423,1.2585577625300193,0.8515731419917476,0.932872593380499,0.9759213669343728,1.0517528620772398,1.0415437735023236,0.9669899387492344,0.9326273587788196,0.9405892171464122
2018-02-15,-0.2593923031523989,1.042257892424221,1.2707409443707145,1.0377259749360015,1.2853830515029183,1.0416753191931207,1.2704813568401934,1.0797369238812526,1.286208482260535,0.8515731419917476,0.9326273587788196,1.1067713586626613,1.05779634709033,1.1166545617369912,0.970716647284968,1.1345421381242358,1.1607288643359437
2018-02-16,0.3500208832502309,1.254186528113231,1.6428602860032249,1.2722015512096594,1.6959391641792358,1.26077300380732,1.6454602599061572,1.2562747186945549,1.641035943532321,0.8345265777804395,0.9507650775110164,1.0415437735023236,1.0857944353945883,1.0517528620772398,0.9669899387492344,0.9170609027931292,0.9414276750514958
2018-02-19,-0.1813393701022723,1.165235337204368,1.4606667887240978,1.184411567581661,1.5075002770495185,1.168800227969453,1.461106456073569,1.1665602166460576,1.454385993297698,1.1067713586626613,1.0517528620772398,0.9841430071380776,0.9669899387492344,0.9405892171464122,0.9414276750514958,0.9170609027931292,0.9170609027931292
2018-02-20,0.4441289666759747,1.118984221965183,1.37677742144124,1.1387768200430568,1.4271344388651357,1.1220834826259192,1.3773632400755065,1.122171523200822,1.3676141316215011,1.1067713586626613,1.1443938350666816,1.13000145578812,1.1899758169076138,1.1345421381242358,1.2439571896007442,1.2439571896007442,1.2438690892565374
