date,actual_return,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S,BB_1,BB_5,BB_10,BB_15,BB_20,BB_30,BB_35,BB_40
2018-02-09,-0.8268414694683186,1.620149530676164,1.786245327779734,1.5278628792074682,1.6981985619569342,1.6320452522853717,1.8058279593820767,1.630035182065617,1.8013772148906382,1.9114396023315328,1.5781983706955265,1.5679608533366571,1.6643779904174358,1.5968839826490138,1.1263192278710714,1.7126083936925631,1.627816735968849
2018-02-12,-0.1543118592159609,1.772990855786012,1.9283720219390592,1.748800497430967,1.8928648772486023,1.7964355848175306,1.9654719520330144,1.7722968369962555,1.9298981656349357,1.4643712115373873,1.7264305140831413,1.627816735968849,1.5234762640126809,1.296362463820435,1.5781983706955265,1.627816735968849,1.5781983706955265
2018-02-13,-0.5957363025811852,1.762850751362009,1.9207390534186448,1.7957557229506556,1.9402971576015573,1.7646220982153475,1.9312472909277425,1.757077375599614,1.915604930402212,1.4643712115373873,1.3642776403786605,1.627816735968849,1.7254704251550623,1.7153079226249357,1.5562369150674156,1.6015717091204091,1.5781983706955265
2018-02-14,0.6788568915858164,1.6599256894262584,1.8280450409038207,1.6395921578401171,1.80357296331354,1.6659569887801438,1.840036245167136,1.6626612191029444,1.833326622477727,1.6643779904174358,1.7992774418240376,1.6643779904174358,1.627816735968849,1.627816735968849,1.5679608533366571,1.5781983706955265,1.7153079226249357
2018-02-15,0.1423318945064403,1.6384212069547557,1.804563083020432,1.6458604957972467,1.804883467537019,1.633688519592288,1.804207964973565,1.6394839651275337,1.8085515132588597,1.3642776403786605,1.5562369150674156,1.5968839826490138,1.6840174255296918,1.627816735968849,1.536343067677031,1.5781983706955265,1.7153079226249357
2018-02-16,0.8262558810257559,1.636396727318847,1.803015909458859,1.6639840912466153,1.8238565240247764,1.6381327169556994,1.8108848482604465,1.6353080324396243,1.80425629220932,1.7654656935219992,1.5550901389262664,1.627816735968849,1.5781983706955265,1.6136554953984643,1.6643779904174358,1.5679608533366571,1.7153079226249357
2018-02-19,-0.2118146237916502,1.5670336047882782,1.7382587071201734,1.5261762058507915,1.7016651435348682,1.56951584446559,1.7459944320813747,1.5745129690320416,1.7498904721225723,1.7153079226249357,1.7254704251550623,1.627816735968849,1.627816735968849,1.1083735436922764,1.6643779904174358,1.5781983706955265,1.7153079226249357
2018-02-20,0.176543328381611,1.621754728953449,1.7855734299286183,1.620397731022047,1.7805247211554072,1.6289265918299374,1.8011959455620867,1.622925577098704,1.789448441569346,1.3805118152190308,1.3805118152190308,1.627816735968849,1.627816735968849,1.627816735968849,1.6136554953984643,1.5781983706955265,1.7403612782080835
2018-02-21,0.3873016988522584,1.5579834530680197,1.7272046995468968,1.519669344078863,1.6889268852897552,1.563744206015803,1.7398531803919923,1.5648650237530812,1.737786943991909,1.3805118152190308,1.2699757641239726,1.6318819301458165,1.6643779904174358,1.6643779904174358,1.627816735968849,1.5679608533366571,1.7403612782080835
2018-02-22,0.1521624920499478,1.5075644165875766,1.68117370063296,1.4224252372054988,1.6016968063787038,1.5116440038922,1.6915356523747818,1.5180771709786756,1.6949583543553053,1.7126083936925631,1.5781983706955265,1.5781983706955265,1.6079505374348233,1.5679608533366571,1.5781983706955265,1.5781983706955265,1.6643779904174358
