date,actual_return,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S,BB_1,BB_5,BB_10,BB_15,BB_20,BB_30,BB_35,BB_40
2017-12-27,0.0767616538417258,1.7895493761900385,2.4047133315446594,1.9379503513120817,2.62707668224914,1.7128517774247043,2.326994597460676,1.836778941645512,2.478034448009124,2.154606211903653,2.1460640845304626,1.949700901761832,1.949700901761832,1.8905505863522531,1.8905505863522531,1.8939249167271868,1.9545591729887168
2017-12-28,-0.5494822976292584,1.7422750564463854,2.34644729577225,1.9014740539959216,2.5789961623601285,1.7022657529886476,2.322904354442683,1.79143347132682,2.42222024765402,2.5822621885033303,1.8905505863522531,1.8905505863522531,1.8939249167271868,2.270205437277376,1.8905505863522531,2.4107555915814887,2.848727790057627
2017-12-29,-0.504317887551035,1.6584554711971675,2.2402909376248115,1.7523840785877158,2.378412786524283,1.637893384048546,2.2230256610784607,1.6907377124781104,2.280166426754351,1.9225054789903568,1.9545591729887168,1.8939249167271868,1.8725290124016187,1.8905505863522531,1.8905505863522531,2.154606211903653,1.9545591729887168
2018-01-02,-0.4520260307677929,1.656335085753257,2.23443658402981,1.7763697322229812,2.4092418491942453,1.6842758605527892,2.3068018933897148,1.696189287925488,2.291075549978854,2.1460640845304626,1.9545591729887168,1.9545591729887168,1.8725290124016187,1.8905505863522531,1.8905505863522531,2.154606211903653,2.1460640845304626
2018-01-03,0.8037740115411448,1.6432567994040823,2.2134645248673213,1.7846563103080808,2.4169834604797464,1.7082174898149474,2.350035940087254,1.688505618553524,2.283795204632848,1.9225054789903568,1.8297315683494773,1.8939249167271868,1.8725290124016187,1.9545591729887168,1.8583160250976831,1.8939249167271868,1.8939249167271868
2018-01-04,1.5339600629815977,1.6271207685664812,2.1970344554597165,1.7837416595452946,2.4242086257802407,1.7302973297608033,2.379997102700551,1.676226438454984,2.2724217214456863,1.8905505863522531,1.8725290124016187,1.8725290124016187,1.8905505863522531,1.8939249167271868,1.8583160250976831,1.9545591729887168,1.9225054789903568
2018-01-05,1.0484798781091569,1.6638042927115864,2.241765549918461,1.8418547054964989,2.4982660174313813,1.6682820653420218,2.2653943302640878,1.7197980318538404,2.333745553928607,1.8939249167271868,1.8679385714211376,1.8905505863522531,1.8905505863522531,1.949700901761832,1.8905505863522531,1.9225054789903568,1.8939249167271868
2018-01-08,0.3042466917879702,1.9855839636844357,2.677173254270217,2.11585791829602,2.880844594321204,1.6360999988020364,2.170065308506691,2.0210296185003345,2.727006286262377,1.8939249167271868,1.9545591729887168,2.270205437277376,1.8905505863522531,2.5822621885033303,2.857869380715573,1.8905505863522531,2.1460640845304626
2018-01-09,0.6633177716181998,2.0583921322253844,2.77254600117259,2.2208090558103826,3.026338314291324,1.595864778362195,2.08859120982904,2.1079632613117725,2.8389742379863425,1.8905505863522531,1.9545591729887168,1.8939249167271868,1.8939249167271868,1.8939249167271868,1.8939249167271868,1.8939249167271868,1.8939249167271868
2018-01-10,-0.3492691741910592,1.95801228027113,2.648220899905326,2.095930282812899,2.8612596391021285,1.5333655201630056,2.011029996542232,1.9980752527172767,2.692415560489539,1.9545591729887168,2.154606211903653,1.8939249167271868,1.949700901761832,1.949700901761832,1.9545591729887168,1.8725290124016187,2.2091627219664915
2018-01-11,-0.2934602969008146,1.914366890396687,2.5892476669512376,2.076101495304136,2.8313478343130405,1.479758030988536,1.9311869755279507,1.961076450136717,2.649793279818038,1.8905505863522531,1.9545591729887168,1.8939249167271868,1.949700901761832,1.8939249167271868,1.8939249167271868,1.8905505863522531,1.8939249167271868
2018-01-12,0.5181051851949221,1.8506817659248944,2.513962728391103,2.015240161206275,2.7581214078199223,1.479222508924715,1.9615814863643608,1.897668438127986,2.572273046049433,2.857869380715573,1.8939249167271868,1.8939249167271868,1.949700901761832,1.9545591729887168,1.949700901761832,1.8905505863522531,1.8905505863522531
2018-01-15,-0.1336770723015575,1.778529613178813,2.419123661447622,1.939774535548095,2.6526828128258653,1.4616304217768772,1.9547310059635103,1.821959824762658,2.474562839547294,1.9225054789903568,1.9225054789903568,1.8939249167271868,1.8939249167271868,1.8905505863522531,1.949700901761832,1.8905505863522531,1.8725290124016187
2018-01-16,0.0749286405786669,1.72656009816021,2.346741248048,1.8974806062736544,2.589805484738591,1.4096041317043606,1.8782021246573128,1.7717621791841418,2.409662454729033,1.9225054789903568,1.9545591729887168,1.9545591729887168,1.9545591729887168,1.949700901761832,1.8905505863522531,1.8905505863522531,1.8905505863522531
2018-01-17,-0.3602825845973958,1.6489869481380637,2.246792424252748,1.7935523144761778,2.447224946265845,1.36773337913116,1.830158218469765,1.6848492876961292,2.2928703141150617,1.9225054789903568,1.8725290124016187,1.8939249167271868,1.9545591729887168,1.9545591729887168,1.9225054789903568,1.8905505863522531,1.8725290124016187
